variant,n_seeds,seed,steps_ran,survivors,found,found_pct,cov_pct,stair_pct,completed,deadline,found_deadline,found_deadline_pct,cov_deadline,t_first_found,t_half_found,t_all_found,t_cov90,t_stair50,deaths,hazard_deaths,stranded_end,blackout_total,blackout_max,relay_duty_ticks,battery_used,step_mean_ms,step_p90_ms,wall_s
A0-FULL,20,60.5,1117.7,45.0,44.45,98.778,95.938,98.664,0.6,250.0,35.9,79.778,68.656,3.55,111.5,517.3,521.2,112.5,7.6,5.75,0.15,185.0,76.85,6548.25,39156.155,540.343,1024.022,687.79
A1-NOCLUS,20,60.5,1112.1,45.0,44.3,98.446,94.854,98.967,0.45,250.0,36.6,81.333,70.468,3.95,104.4,286.55,407.35,100.0,6.6,5.1,0.15,260.8,105.95,5457.1,36549.685,668.314,1165.193,907.225
A2-GREEDY,20,60.5,1012.15,45.0,44.55,99.001,95.165,98.829,0.6,250.0,34.65,77.0,73.201,4.05,139.85,411.75,368.55,182.5,7.2,6.5,0.1,104.05,38.2,6213.55,32616.51,598.566,989.651,733.305
A3-NODIV,20,60.5,1133.8,45.0,44.2,98.224,95.625,98.454,0.5,250.0,33.15,73.666,69.106,3.2,133.1,383.3,493.65,163.75,7.8,5.75,0.1,192.05,116.9,6491.4,39758.28,547.757,1033.484,717.66
A4-NOL2,20,60.5,1120.4,45.0,44.6,99.112,95.722,99.681,0.65,250.0,33.2,73.777,69.619,4.85,138.6,595.05,477.35,151.25,6.9,5.1,0.25,341.1,124.95,6743.35,39539.835,568.529,1120.863,716.025
A5-NORESC,20,60.5,1142.4,45.0,44.4,98.668,95.766,99.531,0.5,250.0,35.1,78.0,69.46,3.85,111.0,391.9,477.4,115.0,7.2,5.7,0.15,194.95,110.75,6319.8,37508.465,638.469,1172.923,852.805
B1-NOCONG,20,60.5,923.75,45.0,44.5,98.89,94.984,98.936,0.6,250.0,35.95,79.889,74.011,3.45,117.05,323.35,378.6,116.25,10.3,7.2,0.2,158.6,75.7,3935.75,39483.7,480.283,780.166,594.33
B2-NOCAP,20,60.5,992.55,45.0,44.6,99.112,94.876,99.415,0.65,250.0,34.85,77.446,69.035,3.55,115.1,467.2,429.8,116.25,6.2,5.0,0.15,164.6,55.75,5810.7,35758.73,507.564,947.909,618.585
B3-NOMF,20,60.5,1131.0,45.0,44.5,98.89,94.937,99.631,0.55,250.0,34.85,77.444,68.403,3.55,115.25,455.55,491.15,113.75,7.2,5.2,0.1,153.3,58.55,6497.05,38952.01,581.635,1068.786,776.055
A6-NOSWEEP,20,60.5,1145.6,45.0,44.55,99.001,96.633,99.234,0.55,250.0,35.65,79.222,68.672,3.55,110.85,470.15,518.7,112.5,7.15,5.55,0.25,341.15,73.75,6555.45,39196.435,564.178,1017.594,747.485
B5-NOTRAV,20,60.5,1140.35,45.0,44.3,98.445,95.659,98.706,0.55,250.0,33.4,74.224,69.16,4.5,135.7,464.9,491.15,153.75,6.2,4.6,0.1,193.35,64.7,7041.7,40299.365,573.645,1047.656,758.245
B6-NOSUB,20,60.5,1097.45,45.0,44.45,98.779,95.556,99.422,0.6,250.0,34.85,77.445,71.248,3.35,122.7,497.05,511.2,121.25,7.15,5.1,0.3,301.05,88.8,6064.7,38456.2,564.272,1000.365,735.345
B7-NOGAME,20,60.5,1032.95,45.0,44.4,98.668,95.038,99.588,0.55,250.0,36.35,80.779,68.827,3.85,103.2,357.5,444.85,97.5,4.0,1.8,0.3,100.9,22.65,6639.2,38505.335,611.671,1208.164,799.3
X-NEITHER,20,60.5,1019.15,45.0,44.5,98.89,96.181,99.153,0.55,250.0,32.1,71.333,72.368,3.5,152.7,343.7,388.65,200.0,3.9,3.4,0.05,148.1,26.1,6319.7,32241.645,744.389,1292.678,967.985
