n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,1,steps_run,1500
10,10,90,810.0,1,survivors,9
10,10,90,810.0,1,final_cov,96.52
10,10,90,810.0,1,final_found,8
10,10,90,810.0,1,found_frac,0.889
10,10,90,810.0,1,deaths,3
10,10,90,810.0,1,hazard_deaths,0
10,10,90,810.0,1,battery_deaths,3
10,10,90,810.0,1,peak_relays,8
10,10,90,810.0,1,t_first_found,1
10,10,90,810.0,1,t_half_found,123
10,10,90,810.0,1,t_all_found,-1
10,10,90,810.0,1,completed,0
10,10,90,810.0,1,wall_s,34.7
10,10,90,810.0,1,step_mean_ms,23.1
10,10,90,810.0,1,step_p50_ms,21.274
10,10,90,810.0,1,step_p90_ms,31.227
10,10,90,810.0,1,step_max_ms,71.436
10,10,90,810.0,1,ground_mean_ms,11.821
10,10,90,810.0,1,ground_p90_ms,16.211
10,10,90,810.0,1,astar_sum_mean_ms,11.279
10,10,90,810.0,1,astar_max_mean_ms,3.862
10,10,90,810.0,1,astar_max_p90_ms,6.723
10,10,90,810.0,1,dist_mean_ms,15.683
10,10,90,810.0,1,dist_p90_ms,20.911
10,10,90,810.0,1,role_ms,3.184
10,10,90,810.0,1,alloc_ms,0.285
10,10,90,810.0,1,relay_cover_ms,0.145
10,10,90,810.0,1,explorer_move_ms,13.653
10,10,90,810.0,1,relay_move_ms,0.366
10,10,90,810.0,1,astar_explorer_ms,11.244
10,10,90,810.0,1,astar_relay_ms,0.035
10,10,90,810.0,1,other_ms,5.466
10,10,90,810.0,1,step_ms_per_robot,2.31
10,10,90,810.0,1,ground_ms_per_robot,1.1821
10,10,90,810.0,1,role_ms_per_robot,0.3184
10,10,90,810.0,1,alloc_ms_per_robot,0.0285
10,10,90,810.0,1,relay_cover_ms_per_robot,0.0145
10,10,90,810.0,1,explorer_move_ms_per_robot,1.3653
10,10,90,810.0,1,relay_move_ms_per_robot,0.0366
10,10,90,810.0,2,steps_run,590
10,10,90,810.0,2,survivors,9
10,10,90,810.0,2,final_cov,95.8
10,10,90,810.0,2,final_found,9
10,10,90,810.0,2,found_frac,1.0
10,10,90,810.0,2,deaths,0
10,10,90,810.0,2,hazard_deaths,0
10,10,90,810.0,2,battery_deaths,0
10,10,90,810.0,2,peak_relays,5
10,10,90,810.0,2,t_first_found,18
10,10,90,810.0,2,t_half_found,120
10,10,90,810.0,2,t_all_found,590
10,10,90,810.0,2,completed,1
10,10,90,810.0,2,wall_s,15.0
10,10,90,810.0,2,step_mean_ms,25.354
10,10,90,810.0,2,step_p50_ms,23.903
10,10,90,810.0,2,step_p90_ms,44.998
10,10,90,810.0,2,step_max_ms,73.481
10,10,90,810.0,2,ground_mean_ms,12.662
10,10,90,810.0,2,ground_p90_ms,15.425
10,10,90,810.0,2,astar_sum_mean_ms,12.693
10,10,90,810.0,2,astar_max_mean_ms,4.185
10,10,90,810.0,2,astar_max_p90_ms,7.032
10,10,90,810.0,2,dist_mean_ms,16.846
10,10,90,810.0,2,dist_p90_ms,21.773
10,10,90,810.0,2,role_ms,1.728
10,10,90,810.0,2,alloc_ms,0.423
10,10,90,810.0,2,relay_cover_ms,0.141
10,10,90,810.0,2,explorer_move_ms,14.665
10,10,90,810.0,2,relay_move_ms,0.353
10,10,90,810.0,2,astar_explorer_ms,12.67
10,10,90,810.0,2,astar_relay_ms,0.023
10,10,90,810.0,2,other_ms,8.045
10,10,90,810.0,2,step_ms_per_robot,2.5354
10,10,90,810.0,2,ground_ms_per_robot,1.2662
10,10,90,810.0,2,role_ms_per_robot,0.1728
10,10,90,810.0,2,alloc_ms_per_robot,0.0423
10,10,90,810.0,2,relay_cover_ms_per_robot,0.0141
10,10,90,810.0,2,explorer_move_ms_per_robot,1.4665
10,10,90,810.0,2,relay_move_ms_per_robot,0.0353
10,10,90,810.0,3,steps_run,357
10,10,90,810.0,3,survivors,9
10,10,90,810.0,3,final_cov,76.17
10,10,90,810.0,3,final_found,9
10,10,90,810.0,3,found_frac,1.0
10,10,90,810.0,3,deaths,0
10,10,90,810.0,3,hazard_deaths,0
10,10,90,810.0,3,battery_deaths,0
10,10,90,810.0,3,peak_relays,5
10,10,90,810.0,3,t_first_found,38
10,10,90,810.0,3,t_half_found,74
10,10,90,810.0,3,t_all_found,357
10,10,90,810.0,3,completed,1
10,10,90,810.0,3,wall_s,7.4
10,10,90,810.0,3,step_mean_ms,20.693
10,10,90,810.0,3,step_p50_ms,14.677
10,10,90,810.0,3,step_p90_ms,48.835
10,10,90,810.0,3,step_max_ms,71.087
10,10,90,810.0,3,ground_mean_ms,13.694
10,10,90,810.0,3,ground_p90_ms,16.431
10,10,90,810.0,3,astar_sum_mean_ms,6.999
10,10,90,810.0,3,astar_max_mean_ms,1.975
10,10,90,810.0,3,astar_max_p90_ms,6.384
10,10,90,810.0,3,dist_mean_ms,15.669
10,10,90,810.0,3,dist_p90_ms,21.892
10,10,90,810.0,3,role_ms,2.386
10,10,90,810.0,3,alloc_ms,0.316
10,10,90,810.0,3,relay_cover_ms,0.165
10,10,90,810.0,3,explorer_move_ms,8.705
10,10,90,810.0,3,relay_move_ms,0.484
