n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,1,1500,9,96.52,8,0.889,3,0,3,8,1,123,-1,0,34.7,23.1,21.274,31.227,71.436,11.821,16.211,11.279,3.862,6.723,15.683,20.911,3.184,0.285,0.145,13.653,0.366,11.244,0.035,5.466,2.31,1.1821,0.3184,0.0285,0.0145,1.3653,0.0366
10,10,90,810.0,2,590,9,95.8,9,1.0,0,0,0,5,18,120,590,1,15.0,25.354,23.903,44.998,73.481,12.662,15.425,12.693,4.185,7.032,16.846,21.773,1.728,0.423,0.141,14.665,0.353,12.67,0.023,8.045,2.5354,1.2662,0.1728,0.0423,0.0141,1.4665,0.0353
10,10,90,810.0,3,357,9,76.17,9,1.0,0,0,0,5,38,74,357,1,7.4,20.693,14.677,48.835,71.087,13.694,16.431,6.999,1.975,6.384,15.669,21.892,2.386,0.316,0.165,8.705,0.484,6.915,0.084,8.637,2.0693,1.3694,0.2386,0.0316,0.0165,0.8705,0.0484
10,10,90,810.0,4,1500,9,99.75,8,0.889,1,0,1,5,24,118,-1,0,35.4,23.615,22.76,41.967,68.349,8.632,14.58,14.983,4.082,6.627,12.714,19.765,1.321,0.334,0.102,17.313,0.31,14.965,0.018,4.235,2.3615,0.8632,0.1321,0.0334,0.0102,1.7313,0.031
10,10,90,810.0,5,691,9,93.52,9,1.0,3,0,3,5,4,42,691,1,14.7,21.238,19.328,31.691,66.946,11.293,15.512,9.945,3.727,6.062,15.019,20.678,1.237,0.467,0.161,9.648,2.846,7.889,2.056,6.879,2.1238,1.1293,0.1237,0.0467,0.0161,0.9648,0.2846
10,10,90,810.0,6,1500,9,96.28,8,0.889,5,0,5,5,1,182,-1,0,17.0,11.317,8.299,21.12,57.677,8.791,13.787,2.525,1.374,6.047,10.166,17.274,2.186,0.337,0.073,3.712,0.15,2.495,0.03,4.859,1.1317,0.8791,0.2186,0.0337,0.0073,0.3712,0.015
10,10,90,810.0,7,1500,9,87.44,5,0.556,0,0,0,7,1,119,-1,0,76.8,51.219,61.6,67.21,124.342,12.114,16.23,39.104,5.615,7.121,17.729,22.026,1.556,0.43,0.062,42.98,0.768,38.737,0.368,5.423,5.1219,1.2114,0.1556,0.043,0.0062,4.298,0.0768
10,10,90,810.0,8,1500,9,97.28,8,0.889,2,0,2,5,1,82,-1,0,40.2,26.806,22.69,53.471,69.075,9.927,14.165,16.879,4.858,6.661,14.785,19.122,1.996,0.256,0.082,18.879,0.556,16.583,0.296,5.038,2.6806,0.9927,0.1996,0.0256,0.0082,1.8879,0.0556
10,10,90,810.0,9,814,9,87.4,9,1.0,2,0,2,6,17,128,814,1,20.6,25.3,24.248,41.719,62.933,12.53,15.934,12.77,4.304,6.585,16.833,21.552,2.19,0.456,0.214,14.243,1.424,11.996,0.774,6.773,2.53,1.253,0.219,0.0456,0.0214,1.4243,0.1424
10,10,90,810.0,10,1500,9,96.83,7,0.778,1,0,1,5,26,162,-1,0,45.5,30.328,29.45,41.977,69.903,10.133,14.839,20.196,4.145,6.519,14.278,20.195,1.413,0.333,0.075,22.499,1.178,19.472,0.723,4.831,3.0328,1.0133,0.1413,0.0333,0.0075,2.2499,0.1178
