n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,31,1500,9,97.47,7,0.778,1,0,1,6,62,178,-1,0,47.8,31.873,33.826,38.799,58.101,9.424,13.811,22.449,5.108,5.838,14.532,18.856,1.311,0.285,0.035,25.582,0.404,22.275,0.174,4.256,3.1873,0.9424,0.1311,0.0285,0.0035,2.5582,0.0404
10,10,90,810.0,32,1500,9,97.58,7,0.778,3,0,3,5,29,213,-1,0,22.2,14.788,10.994,30.571,58.722,8.286,14.286,6.502,2.14,5.929,10.426,19.687,1.836,0.29,0.063,8.443,0.126,6.488,0.014,4.031,1.4788,0.8286,0.1836,0.029,0.0063,0.8443,0.0126
10,10,90,810.0,33,439,9,78.6,9,1.0,0,0,0,6,4,31,439,1,10.6,24.037,18.528,42.872,71.535,13.421,16.041,10.616,3.345,6.397,16.765,21.962,1.924,0.54,0.188,12.54,0.937,10.141,0.475,7.908,2.4037,1.3421,0.1924,0.054,0.0188,1.254,0.0937
10,10,90,810.0,34,421,9,76.21,9,1.0,0,0,0,6,1,90,421,1,10.0,23.686,19.034,42.259,50.222,13.194,15.373,10.491,3.539,6.817,16.733,21.265,1.023,0.562,0.368,14.158,0.67,10.39,0.102,6.905,2.3686,1.3194,0.1023,0.0562,0.0368,1.4158,0.067
10,10,90,810.0,35,1500,9,92.28,4,0.444,2,0,2,6,16,200,-1,0,62.3,41.519,47.131,53.002,73.173,11.423,15.251,30.096,4.834,5.586,16.257,20.075,3.539,0.326,0.036,33.673,0.27,30.019,0.077,3.674,4.1519,1.1423,0.3539,0.0326,0.0036,3.3673,0.027
10,10,90,810.0,36,658,9,94.88,9,1.0,2,0,2,6,4,97,658,1,11.4,17.381,15.901,26.951,42.065,11.987,15.109,5.394,2.299,5.907,14.286,19.092,1.439,0.396,0.158,8.249,0.319,5.363,0.031,6.821,1.7381,1.1987,0.1439,0.0396,0.0158,0.8249,0.0319
10,10,90,810.0,37,406,9,87.93,9,1.0,0,0,0,6,1,34,406,1,6.5,16.061,14.855,23.807,44.421,12.005,15.116,4.056,2.326,5.744,14.331,18.782,1.365,0.341,0.196,4.228,2.057,2.674,1.382,7.875,1.6061,1.2005,0.1365,0.0341,0.0196,0.4228,0.2057
10,10,90,810.0,38,777,9,98.83,9,1.0,2,0,2,5,1,122,777,1,13.2,16.948,16.128,26.172,52.343,11.226,14.674,5.723,2.616,6.007,13.841,18.961,1.246,0.398,0.131,5.974,2.547,3.8,1.923,6.653,1.6948,1.1226,0.1246,0.0398,0.0131,0.5974,0.2547
10,10,90,810.0,39,1500,9,98.54,8,0.889,5,0,5,6,15,23,-1,0,23.8,15.867,14.556,28.393,59.885,8.76,13.787,7.106,2.959,5.869,11.719,18.423,1.183,0.312,0.123,8.342,0.707,6.758,0.348,5.2,1.5867,0.876,0.1183,0.0312,0.0123,0.8342,0.0707
10,10,90,810.0,40,1500,9,99.02,7,0.778,3,0,3,6,1,261,-1,0,20.1,13.382,13.317,23.815,50.521,8.174,14.256,5.209,1.669,5.26,9.842,16.57,1.107,0.343,0.097,7.536,0.565,4.9,0.309,3.735,1.3382,0.8174,0.1107,0.0343,0.0097,0.7536,0.0565
20,20,126,793.8,31,637,18,98.87,18,1.0,3,0,3,6,7,75,637,1,48.9,76.722,67.851,138.465,217.88,30.606,40.12,46.116,9.581,12.771,40.187,52.157,6.348,2.011,0.381,51.899,0.754,46.045,0.071,15.328,3.8361,1.5303,0.3174,0.1006,0.0191,2.5949,0.0377
20,20,126,793.8,32,444,18,81.92,18,1.0,0,0,0,6,1,101,444,1,32.8,73.867,51.216,151.094,252.665,33.191,41.997,40.676,7.622,12.579,40.813,54.178,4.787,2.871,0.445,46.176,0.772,40.538,0.138,18.817,3.6934,1.6596,0.2394,0.1435,0.0223,2.3088,0.0386
20,20,126,793.8,33,1500,18,98.94,16,0.889,7,0,7,7,29,82,-1,0,40.6,27.07,13.474,69.504,144.029,17.006,29.795,10.064,3.24,12.12,20.246,40.602,2.563,0.908,0.127,14.181,1.716,8.754,1.31,7.575,1.3535,0.8503,0.1281,0.0454,0.0063,0.7091,0.0858
20,20,126,793.8,34,241,18,74.09,18,1.0,0,0,0,7,1,56,241,1,9.2,38.178,32.91,64.716,133.7,30.88,42.231,7.299,4.075,12.473,34.955,49.941,2.666,3.25,0.551,10.967,1.083,7.091,0.208,19.662,1.9089,1.544,0.1333,0.1625,0.0275,0.5483,0.0541
20,20,126,793.8,35,321,18,80.74,18,1.0,0,0,0,6,24,89,321,1,18.7,58.28,48.56,98.322,148.92,35.129,43.035,23.151,6.984,12.197,42.113,55.281,2.813,3.174,0.322,23.842,8.533,16.419,6.732,19.596,2.914,1.7564,0.1406,0.1587,0.0161,1.1921,0.4267
20,20,126,793.8,36,666,18,95.41,18,1.0,7,0,7,6,13,67,666,1,38.7,58.087,55.669,87.361,159.247,27.788,36.431,30.298,6.794,12.489,34.582,46.019,3.219,2.086,0.304,32.564,3.656,27.7,2.599,16.258,2.9043,1.3894,0.161,0.1043,0.0152,1.6282,0.1828
