metric,exponent,n_sizes
step_mean_ms,1.421,10
ground_mean_ms,1.447,10
astar_max_mean_ms,1.04,10
explorer_move_ms,1.422,10
relay_move_ms,1.194,10
alloc_ms,2.002,10
role_ms,1.144,10
relay_cover_ms,0.833,10
step_ms_per_robot,0.42,10
ground_ms_per_robot,0.447,10
