n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,41,steps_run,1500
10,10,90,810.0,41,survivors,9
10,10,90,810.0,41,final_cov,91.79
10,10,90,810.0,41,final_found,8
10,10,90,810.0,41,found_frac,0.889
10,10,90,810.0,41,deaths,4
10,10,90,810.0,41,hazard_deaths,0
10,10,90,810.0,41,battery_deaths,4
10,10,90,810.0,41,peak_relays,5
10,10,90,810.0,41,t_first_found,26
10,10,90,810.0,41,t_half_found,60
10,10,90,810.0,41,t_all_found,-1
10,10,90,810.0,41,completed,0
10,10,90,810.0,41,wall_s,41.0
10,10,90,810.0,41,step_mean_ms,27.328
10,10,90,810.0,41,step_p50_ms,30.2
10,10,90,810.0,41,step_p90_ms,36.976
10,10,90,810.0,41,step_max_ms,74.613
10,10,90,810.0,41,ground_mean_ms,9.476
10,10,90,810.0,41,ground_p90_ms,14.388
10,10,90,810.0,41,astar_sum_mean_ms,17.852
10,10,90,810.0,41,astar_max_mean_ms,4.169
10,10,90,810.0,41,astar_max_p90_ms,6.121
10,10,90,810.0,41,dist_mean_ms,13.645
10,10,90,810.0,41,dist_p90_ms,18.649
10,10,90,810.0,41,role_ms,1.373
10,10,90,810.0,41,alloc_ms,0.455
10,10,90,810.0,41,relay_cover_ms,0.068
10,10,90,810.0,41,explorer_move_ms,20.041
10,10,90,810.0,41,relay_move_ms,0.634
10,10,90,810.0,41,astar_explorer_ms,17.568
10,10,90,810.0,41,astar_relay_ms,0.284
10,10,90,810.0,41,other_ms,4.757
10,10,90,810.0,41,step_ms_per_robot,2.7328
10,10,90,810.0,41,ground_ms_per_robot,0.9476
10,10,90,810.0,41,role_ms_per_robot,0.1373
10,10,90,810.0,41,alloc_ms_per_robot,0.0455
10,10,90,810.0,41,relay_cover_ms_per_robot,0.0068
10,10,90,810.0,41,explorer_move_ms_per_robot,2.0041
10,10,90,810.0,41,relay_move_ms_per_robot,0.0634
10,10,90,810.0,42,steps_run,503
10,10,90,810.0,42,survivors,9
10,10,90,810.0,42,final_cov,93.7
10,10,90,810.0,42,final_found,9
10,10,90,810.0,42,found_frac,1.0
10,10,90,810.0,42,deaths,0
10,10,90,810.0,42,hazard_deaths,0
10,10,90,810.0,42,battery_deaths,0
10,10,90,810.0,42,peak_relays,6
10,10,90,810.0,42,t_first_found,49
10,10,90,810.0,42,t_half_found,138
10,10,90,810.0,42,t_all_found,503
10,10,90,810.0,42,completed,1
10,10,90,810.0,42,wall_s,9.0
10,10,90,810.0,42,step_mean_ms,17.806
10,10,90,810.0,42,step_p50_ms,15.386
10,10,90,810.0,42,step_p90_ms,28.397
10,10,90,810.0,42,step_max_ms,52.78
10,10,90,810.0,42,ground_mean_ms,13.231
10,10,90,810.0,42,ground_p90_ms,17.953
10,10,90,810.0,42,astar_sum_mean_ms,4.575
10,10,90,810.0,42,astar_max_mean_ms,2.773
10,10,90,810.0,42,astar_max_p90_ms,7.242
10,10,90,810.0,42,dist_mean_ms,16.004
10,10,90,810.0,42,dist_p90_ms,22.902
10,10,90,810.0,42,role_ms,1.274
10,10,90,810.0,42,alloc_ms,0.335
10,10,90,810.0,42,relay_cover_ms,0.17
10,10,90,810.0,42,explorer_move_ms,5.727
10,10,90,810.0,42,relay_move_ms,0.568
10,10,90,810.0,42,astar_explorer_ms,4.356
10,10,90,810.0,42,astar_relay_ms,0.219
10,10,90,810.0,42,other_ms,9.732
10,10,90,810.0,42,step_ms_per_robot,1.7806
10,10,90,810.0,42,ground_ms_per_robot,1.3231
10,10,90,810.0,42,role_ms_per_robot,0.1274
10,10,90,810.0,42,alloc_ms_per_robot,0.0335
10,10,90,810.0,42,relay_cover_ms_per_robot,0.017
10,10,90,810.0,42,explorer_move_ms_per_robot,0.5727
10,10,90,810.0,42,relay_move_ms_per_robot,0.0568
10,10,90,810.0,43,steps_run,1500
10,10,90,810.0,43,survivors,9
10,10,90,810.0,43,final_cov,96.17
10,10,90,810.0,43,final_found,7
10,10,90,810.0,43,found_frac,0.778
10,10,90,810.0,43,deaths,3
10,10,90,810.0,43,hazard_deaths,0
10,10,90,810.0,43,battery_deaths,2
10,10,90,810.0,43,peak_relays,6
10,10,90,810.0,43,t_first_found,1
10,10,90,810.0,43,t_half_found,118
10,10,90,810.0,43,t_all_found,-1
10,10,90,810.0,43,completed,0
10,10,90,810.0,43,wall_s,43.3
10,10,90,810.0,43,step_mean_ms,28.867
10,10,90,810.0,43,step_p50_ms,29.328
10,10,90,810.0,43,step_p90_ms,47.05
10,10,90,810.0,43,step_max_ms,73.15
10,10,90,810.0,43,ground_mean_ms,11.006
10,10,90,810.0,43,ground_p90_ms,14.727
10,10,90,810.0,43,astar_sum_mean_ms,17.861
10,10,90,810.0,43,astar_max_mean_ms,5.148
10,10,90,810.0,43,astar_max_p90_ms,8.056
10,10,90,810.0,43,dist_mean_ms,16.154
10,10,90,810.0,43,dist_p90_ms,22.107
10,10,90,810.0,43,role_ms,1.388
10,10,90,810.0,43,alloc_ms,0.33
10,10,90,810.0,43,relay_cover_ms,0.044
10,10,90,810.0,43,explorer_move_ms,20.298
10,10,90,810.0,43,relay_move_ms,0.417
10,10,90,810.0,43,astar_explorer_ms,17.737
10,10,90,810.0,43,astar_relay_ms,0.124
10,10,90,810.0,43,other_ms,6.391
10,10,90,810.0,43,step_ms_per_robot,2.8867
10,10,90,810.0,43,ground_ms_per_robot,1.1006
10,10,90,810.0,43,role_ms_per_robot,0.1388
10,10,90,810.0,43,alloc_ms_per_robot,0.033
10,10,90,810.0,43,relay_cover_ms_per_robot,0.0044
10,10,90,810.0,43,explorer_move_ms_per_robot,2.0298
10,10,90,810.0,43,relay_move_ms_per_robot,0.0417
10,10,90,810.0,44,steps_run,1500
10,10,90,810.0,44,survivors,9
10,10,90,810.0,44,final_cov,95.99
10,10,90,810.0,44,final_found,7
10,10,90,810.0,44,found_frac,0.778
10,10,90,810.0,44,deaths,1
10,10,90,810.0,44,hazard_deaths,0
10,10,90,810.0,44,battery_deaths,1
10,10,90,810.0,44,peak_relays,6
10,10,90,810.0,44,t_first_found,4
10,10,90,810.0,44,t_half_found,163
10,10,90,810.0,44,t_all_found,-1
10,10,90,810.0,44,completed,0
10,10,90,810.0,44,wall_s,42.8
10,10,90,810.0,44,step_mean_ms,28.519
10,10,90,810.0,44,step_p50_ms,27.642
10,10,90,810.0,44,step_p90_ms,38.534
10,10,90,810.0,44,step_max_ms,72.881
10,10,90,810.0,44,ground_mean_ms,12.283
10,10,90,810.0,44,ground_p90_ms,16.481
10,10,90,810.0,44,astar_sum_mean_ms,16.236
10,10,90,810.0,44,astar_max_mean_ms,4.151
10,10,90,810.0,44,astar_max_p90_ms,6.226
10,10,90,810.0,44,dist_mean_ms,16.434
10,10,90,810.0,44,dist_p90_ms,21.431
10,10,90,810.0,44,role_ms,1.664
10,10,90,810.0,44,alloc_ms,0.4
10,10,90,810.0,44,relay_cover_ms,0.065
10,10,90,810.0,44,explorer_move_ms,19.992
10,10,90,810.0,44,relay_move_ms,0.508
10,10,90,810.0,44,astar_explorer_ms,16.01
10,10,90,810.0,44,astar_relay_ms,0.226
10,10,90,810.0,44,other_ms,5.889
10,10,90,810.0,44,step_ms_per_robot,2.8519
10,10,90,810.0,44,ground_ms_per_robot,1.2283
10,10,90,810.0,44,role_ms_per_robot,0.1664
10,10,90,810.0,44,alloc_ms_per_robot,0.04
10,10,90,810.0,44,relay_cover_ms_per_robot,0.0065
10,10,90,810.0,44,explorer_move_ms_per_robot,1.9992
10,10,90,810.0,44,relay_move_ms_per_robot,0.0508
10,10,90,810.0,45,steps_run,1500
10,10,90,810.0,45,survivors,9
10,10,90,810.0,45,final_cov,91.14
10,10,90,810.0,45,final_found,8
10,10,90,810.0,45,found_frac,0.889
10,10,90,810.0,45,deaths,2
10,10,90,810.0,45,hazard_deaths,0
10,10,90,810.0,45,battery_deaths,2
10,10,90,810.0,45,peak_relays,6
10,10,90,810.0,45,t_first_found,19
10,10,90,810.0,45,t_half_found,181
10,10,90,810.0,45,t_all_found,-1
10,10,90,810.0,45,completed,0
10,10,90,810.0,45,wall_s,17.3
10,10,90,810.0,45,step_mean_ms,11.546
10,10,90,810.0,45,step_p50_ms,9.188
10,10,90,810.0,45,step_p90_ms,20.413
10,10,90,810.0,45,step_max_ms,58.627
10,10,90,810.0,45,ground_mean_ms,9.426
10,10,90,810.0,45,ground_p90_ms,15.132
10,10,90,810.0,45,astar_sum_mean_ms,2.12
10,10,90,810.0,45,astar_max_mean_ms,1.232
10,10,90,810.0,45,astar_max_p90_ms,2.457
10,10,90,810.0,45,dist_mean_ms,10.658
10,10,90,810.0,45,dist_p90_ms,17.863
10,10,90,810.0,45,role_ms,1.664
10,10,90,810.0,45,alloc_ms,0.859
10,10,90,810.0,45,relay_cover_ms,0.126
10,10,90,810.0,45,explorer_move_ms,3.111
10,10,90,810.0,45,relay_move_ms,0.811
10,10,90,810.0,45,astar_explorer_ms,2.081
10,10,90,810.0,45,astar_relay_ms,0.039
10,10,90,810.0,45,other_ms,4.974
10,10,90,810.0,45,step_ms_per_robot,1.1546
10,10,90,810.0,45,ground_ms_per_robot,0.9426
10,10,90,810.0,45,role_ms_per_robot,0.1664
10,10,90,810.0,45,alloc_ms_per_robot,0.0859
10,10,90,810.0,45,relay_cover_ms_per_robot,0.0126
