variant,seed,steps_ran,survivors,found,found_pct,cov_pct,stair_pct,completed,deadline,found_deadline,found_deadline_pct,cov_deadline,t_first_found,t_half_found,t_all_found,t_cov90,t_stair50,deaths,hazard_deaths,stranded_end,blackout_total,blackout_max,relay_duty_ticks,battery_used,step_mean_ms,step_p90_ms,wall_s
A0-FULL,31,1500,45,44,97.78,99.12,100.0,0,250,38,84.44,76.32,7,114,-1,425,150,4,3,0,220,215,6659,49413.9,986.24,1679.44,1479.4
A0-FULL,32,1500,45,44,97.78,99.61,99.84,0,250,37,82.22,71.79,1,119,-1,475,125,9,6,0,1,1,8610,43858.6,654.06,1096.51,981.1
A0-FULL,33,756,45,45,100.0,98.29,99.87,1,250,37,82.22,68.15,15,97,756,450,75,3,3,0,495,157,4113,33084.1,351.3,866.95,265.6
A0-FULL,34,1057,45,45,100.0,95.75,100.0,1,250,36,80.0,69.74,1,96,1057,575,75,2,2,0,109,75,6565,41806.9,560.62,1251.78,592.6
A0-FULL,35,1206,45,45,100.0,96.52,99.55,1,250,37,82.22,65.65,1,109,1206,775,75,9,8,0,56,24,7077,42471.4,521.04,1003.07,628.4
A0-FULL,36,764,45,45,100.0,97.75,99.88,1,250,29,64.44,71.59,1,170,764,475,150,4,4,0,159,22,3408,30592.5,299.6,522.15,228.9
A0-FULL,37,619,45,45,100.0,95.99,99.49,1,250,34,75.56,68.82,1,143,619,475,125,3,3,0,12,11,4432,32113.3,192.69,314.24,119.3
A0-FULL,38,579,45,45,100.0,96.28,99.68,1,250,37,82.22,75.58,1,82,579,450,100,2,2,0,65,16,3635,28496.0,200.42,341.67,116.1
A0-FULL,39,1500,45,44,97.78,98.81,100.0,0,250,32,71.11,72.55,3,90,-1,525,100,13,10,0,52,24,7053,46050.6,726.96,1327.19,1090.5
A0-FULL,40,1157,45,45,100.0,96.08,99.52,1,250,32,71.11,65.66,1,139,1157,600,100,5,4,0,79,31,7044,39076.4,530.93,1073.36,614.3
A0-FULL,41,1500,45,42,93.33,95.1,99.82,0,250,28,62.22,65.62,15,123,-1,725,100,12,7,1,655,154,10288,42283.5,574.06,1077.19,861.1
A0-FULL,42,536,45,45,100.0,92.97,99.41,1,250,39,86.67,71.15,1,108,536,475,125,0,0,0,228,168,4239,26653.5,202.85,342.8,108.7
A0-FULL,43,1500,45,44,97.78,98.47,100.0,0,250,38,84.44,74.81,20,118,-1,400,125,10,6,0,44,27,7062,43137.7,961.95,1751.44,1443.0
A0-FULL,44,951,45,45,100.0,95.33,99.89,1,250,34,75.56,69.49,12,150,951,525,125,4,4,0,521,179,6423,39027.9,419.49,936.0,399.0
A0-FULL,45,1013,45,45,100.0,97.95,99.72,1,250,37,82.22,67.33,6,108,1013,550,100,2,2,0,42,16,6586,40909.0,413.3,842.57,418.7
A0-FULL,46,517,45,45,100.0,91.71,99.02,1,250,34,75.56,74.51,1,128,517,475,100,7,7,0,145,24,2884,25552.5,181.81,304.45,94.0
A0-FULL,47,1500,45,44,97.78,95.32,99.9,0,250,34,75.56,63.47,1,131,-1,800,125,17,14,0,385,50,9444,42006.8,413.48,645.54,620.3
A0-FULL,48,1500,45,44,97.78,97.97,99.91,0,250,36,80.0,67.4,1,140,-1,600,125,13,7,0,243,77,7125,49119.3,517.47,916.48,776.3
A0-FULL,49,1500,45,43,95.56,97.85,100.0,0,250,37,82.22,68.89,10,116,-1,550,125,12,9,0,3,1,7188,42640.6,665.68,1240.8,998.6
A0-FULL,50,1259,45,45,100.0,99.52,99.27,1,250,34,75.56,71.55,1,91,1259,450,75,9,6,0,186,60,7773,49949.2,513.1,1130.4,646.0
A1-NOCLUS,31,1500,45,44,97.78,99.21,99.66,0,250,41,91.11,73.59,4,65,-1,400,100,4,3,4,1043,270,5971,47827.9,1074.85,1902.86,1612.3
A1-NOCLUS,32,939,45,45,100.0,99.36,99.84,1,250,40,88.89,72.17,1,106,939,425,125,6,6,0,40,26,6368,36735.2,453.87,953.23,426.2
A1-NOCLUS,33,1500,45,44,97.78,98.89,100.0,0,250,36,80.0,69.33,18,76,-1,500,75,9,6,0,309,36,6872,46014.0,842.42,1662.0,1263.7
A1-NOCLUS,34,1500,45,44,97.78,97.32,100.0,0,250,35,77.78,72.84,1,81,-1,575,75,5,4,0,59,27,8079,46782.6,860.62,1485.25,1291.0
A1-NOCLUS,35,1252,45,45,100.0,98.39,100.0,1,250,37,82.22,66.11,1,81,1252,625,75,6,6,0,136,28,6645,42155.0,618.79,1115.45,774.8
A1-NOCLUS,36,872,45,45,100.0,96.96,99.88,1,250,31,68.89,72.57,1,82,872,475,100,6,6,0,180,26,3159,33651.5,482.76,1153.05,421.0
A1-NOCLUS,37,804,45,45,100.0,97.39,99.24,1,250,34,75.56,70.42,1,124,804,450,100,8,8,0,159,59,5629,33525.7,353.86,703.74,284.5
A1-NOCLUS,38,945,45,45,100.0,99.35,99.57,1,250,36,80.0,73.34,1,89,945,425,100,5,5,0,81,16,4765,41094.8,474.01,1256.6,448.0
A1-NOCLUS,39,1500,45,44,97.78,99.0,100.0,0,250,32,71.11,70.22,3,113,-1,550,75,14,10,0,336,76,6322,47392.7,610.55,1177.06,915.9
A1-NOCLUS,40,1500,45,44,97.78,96.41,98.81,0,250,34,75.56,65.73,1,101,-1,625,75,11,8,0,109,30,5895,39823.8,552.15,1009.44,828.3
A1-NOCLUS,41,1500,45,42,93.33,95.38,100.0,0,250,31,68.89,65.72,9,122,-1,725,75,10,6,0,14,10,8213,39470.5,659.55,1244.7,989.4
A1-NOCLUS,42,420,45,45,100.0,85.09,98.75,1,250,37,82.22,67.79,1,112,420,-1,100,2,2,0,383,170,3626,19921.3,200.03,329.71,84.0
A1-NOCLUS,43,1500,45,44,97.78,98.64,100.0,0,250,41,91.11,75.72,14,90,-1,425,75,9,8,0,182,84,4369,43782.8,1097.69,2023.93,1646.6
A1-NOCLUS,44,588,45,45,100.0,93.52,98.08,1,250,37,82.22,69.43,23,125,588,475,125,2,2,0,611,192,4262,27608.7,238.63,377.67,140.3
A1-NOCLUS,45,1097,45,45,100.0,98.0,100.0,1,250,38,84.44,68.92,5,75,1097,575,75,3,3,0,46,16,7156,40615.8,517.8,1174.83,568.1
A1-NOCLUS,46,979,45,45,100.0,97.42,100.0,1,250,33,73.33,72.02,1,120,979,525,125,10,10,0,196,49,5270,36419.6,450.44,944.9,441.0
A1-NOCLUS,47,1003,45,45,100.0,93.09,99.49,1,250,38,84.44,67.07,1,123,1003,650,100,6,6,0,169,60,5760,34043.7,576.21,1166.41,578.0
A1-NOCLUS,48,873,45,45,100.0,97.58,99.91,1,250,37,82.22,67.88,1,98,873,600,150,5,5,0,7,4,4497,36107.6,355.1,677.08,310.0
A1-NOCLUS,49,1500,45,43,95.56,97.81,100.0,0,250,32,71.11,71.51,10,149,-1,550,125,7,7,0,40,27,7266,39777.8,927.74,1806.72,1391.7
A1-NOCLUS,50,1394,45,45,100.0,99.57,100.0,1,250,38,84.44,72.91,1,68,1394,475,75,8,5,0,125,56,8750,49132.5,696.61,1334.02,971.1
A2-GREEDY,31,1500,45,44,97.78,98.88,99.89,0,250,33,73.33,80.77,19,133,-1,325,175,2,2,0,83,82,6088,39856.6,1359.3,2241.39,2039.0
A2-GREEDY,32,750,45,45,100.0,99.5,98.66,1,250,34,75.56,73.2,1,131,750,375,150,10,10,0,15,12,6128,29711.5,327.29,529.89,245.5
A2-GREEDY,33,962,45,45,100.0,98.79,100.0,1,250,29,64.44,73.85,8,121,962,450,125,6,6,0,392,65,5077,33752.7,549.04,1069.61,528.2
A2-GREEDY,34,1500,45,44,97.78,96.23,100.0,0,250,37,82.22,75.73,1,129,-1,425,150,3,3,0,58,55,9649,36603.4,1127.61,1800.15,1691.5
A2-GREEDY,35,987,45,45,100.0,95.8,100.0,1,250,39,86.67,70.46,1,167,987,475,125,4,4,0,48,22,6853,32098.2,643.11,1161.59,634.8
A2-GREEDY,36,584,45,45,100.0,97.4,99.76,1,250,28,62.22,68.44,1,177,584,450,250,3,3,0,133,20,3340,25109.2,299.27,415.61,174.8
A2-GREEDY,37,679,45,45,100.0,96.53,99.41,1,250,36,80.0,76.55,1,137,679,400,175,9,9,0,39,22,4713,29270.3,373.81,634.92,253.8
A2-GREEDY,38,840,45,45,100.0,99.12,99.68,1,250,30,66.67,80.19,1,139,840,350,150,4,4,0,68,16,4615,33710.5,615.1,1440.13,516.7
A2-GREEDY,39,1500,45,44,97.78,98.98,100.0,0,250,33,73.33,74.95,3,126,-1,500,125,5,5,0,238,217,6339,38132.5,1092.95,1992.42,1639.5
A2-GREEDY,40,1083,45,45,100.0,97.02,99.68,1,250,33,73.33,72.65,1,170,1083,500,175,7,6,0,16,15,7085,35555.6,617.96,1244.32,669.3
A2-GREEDY,41,1500,45,42,93.33,95.65,99.82,0,250,25,55.56,62.68,24,209,-1,650,150,11,8,0,180,41,10731,36249.0,653.46,1040.84,980.2
A2-GREEDY,42,1500,45,44,97.78,99.08,99.93,0,250,32,71.11,69.55,1,189,-1,425,225,3,3,1,1084,633,8643,38545.8,1149.08,1882.92,1723.7
A2-GREEDY,43,1500,45,44,97.78,98.64,100.0,0,250,31,68.89,79.14,20,141,-1,400,175,6,6,0,85,32,5117,37998.3,1321.13,2028.24,1981.8
A2-GREEDY,44,1500,45,44,97.78,98.33,100.0,0,250,29,64.44,69.54,9,231,-1,400,250,11,11,1,445,384,9576,37939.1,673.8,1072.17,1010.8
A2-GREEDY,45,988,45,45,100.0,98.38,99.16,1,250,35,77.78,72.62,5,120,988,425,150,5,5,0,42,18,6990,32219.2,551.25,978.97,544.7
A2-GREEDY,46,1500,45,44,97.78,98.34,97.49,0,250,35,77.78,77.73,1,167,-1,375,225,11,11,0,156,26,6947,36697.4,976.1,1488.66,1464.2
A2-GREEDY,47,1500,45,44,97.78,98.06,99.59,0,250,34,75.56,71.22,1,175,-1,450,125,17,16,0,21,8,9894,38021.4,571.0,771.5,856.6
A2-GREEDY,48,520,45,45,100.0,93.31,98.79,1,250,28,62.22,69.5,1,186,520,450,225,5,5,0,18,16,3238,23126.3,257.23,342.86,133.8
A2-GREEDY,49,1500,45,43,95.56,97.63,100.0,0,250,36,80.0,73.69,22,118,-1,375,100,6,6,2,1253,431,8191,38292.4,985.77,1674.45,1478.7
A2-GREEDY,50,684,45,45,100.0,98.86,98.81,1,250,38,84.44,74.79,1,98,684,400,100,6,6,0,145,103,5319,31241.4,353.86,831.17,242.1
A3-NODIV,31,1500,45,43,95.56,98.94,99.78,0,250,40,88.89,76.61,7,72,-1,450,175,5,3,0,60,58,4864,50246.7,1160.98,2143.63,1741.5
A3-NODIV,32,883,45,45,100.0,99.04,99.61,1,250,36,80.0,69.61,1,110,883,500,125,8,8,0,2,1,6024,35921.2,315.43,532.02,278.6
A3-NODIV,33,955,45,45,100.0,97.1,99.87,1,250,36,80.0,71.6,8,90,955,500,75,7,7,0,244,30,4164,37700.6,385.79,938.33,368.5
A3-NODIV,34,1149,45,45,100.0,95.78,99.27,1,250,31,68.89,67.09,1,195,1149,675,125,4,4,0,29,27,7555,42376.7,510.55,1162.07,586.7
A3-NODIV,35,1500,45,44,97.78,97.71,99.64,0,250,34,75.56,62.29,1,126,-1,725,100,9,6,0,141,37,8270,47714.0,742.05,1328.29,1113.1
A3-NODIV,36,1176,45,45,100.0,98.69,100.0,1,250,31,68.89,68.79,1,105,1176,525,125,10,9,0,642,160,4922,37763.7,436.33,1004.1,513.2
A3-NODIV,37,952,45,45,100.0,97.71,99.32,1,250,37,82.22,72.59,1,103,952,500,125,8,8,0,18,17,6257,38281.6,400.27,943.96,381.1
A3-NODIV,38,494,45,45,100.0,93.68,99.24,1,250,39,86.67,71.75,1,136,494,425,100,1,1,0,114,50,3478,26671.9,164.56,282.56,81.3
A3-NODIV,39,1500,45,44,97.78,99.0,100.0,0,250,30,66.67,73.0,10,133,-1,500,150,10,5,0,16,8,6130,51375.5,782.53,1662.14,1173.8
A3-NODIV,40,1500,45,43,95.56,96.75,97.61,0,250,28,62.22,62.98,1,208,-1,675,150,9,7,0,251,157,7814,41208.2,599.45,1153.76,899.2
A3-NODIV,41,1500,45,42,93.33,95.9,99.46,0,250,31,68.89,65.59,15,127,-1,875,125,14,7,0,70,65,10404,43428.3,504.62,793.39,757.0
A3-NODIV,42,979,45,45,100.0,98.36,99.78,1,250,30,66.67,62.91,1,125,979,550,150,3,3,0,52,49,7369,40468.5,435.18,1147.82,426.1
A3-NODIV,43,747,45,45,100.0,96.68,100.0,1,250,32,71.11,73.64,37,133,747,475,150,4,4,0,73,41,4423,35970.5,234.06,414.03,174.9
A3-NODIV,44,1500,45,44,97.78,98.23,100.0,0,250,35,77.78,69.5,8,137,-1,450,125,8,6,0,413,177,7942,43961.7,891.87,1642.85,1337.9
A3-NODIV,45,1001,45,45,100.0,98.05,98.78,1,250,27,60.0,70.32,5,177,1001,525,175,5,5,0,25,16,7154,36112.1,466.03,1019.64,466.5
A3-NODIV,46,820,45,45,100.0,96.44,97.35,1,250,33,73.33,74.66,1,119,820,450,125,4,4,0,144,24,4415,36755.5,421.96,980.13,346.0
A3-NODIV,47,1500,45,44,97.78,95.62,98.47,0,250,26,57.78,63.29,1,225,-1,775,150,12,10,0,197,140,10082,40097.6,542.86,894.32,814.3
A3-NODIV,48,700,45,45,100.0,94.42,100.0,1,250,36,80.0,64.53,1,157,700,575,175,4,4,0,5,2,3999,30322.9,256.47,433.99,179.6
A3-NODIV,49,1500,45,43,95.56,97.92,100.0,0,250,32,71.11,68.09,17,136,-1,550,100,7,6,1,640,608,6625,41192.5,900.45,1757.04,1350.7
A3-NODIV,50,922,45,45,100.0,97.35,99.82,1,250,31,68.89,66.25,1,137,922,575,100,6,6,0,105,36,6680,42196.0,225.78,494.63,208.2
A4-NOL2,31,1500,45,44,97.78,99.22,100.0,0,250,38,84.44,73.66,4,158,-1,450,200,5,3,0,194,172,5738,53421.2,965.78,2041.96,1448.7
A4-NOL2,32,723,45,45,100.0,98.79,99.53,1,250,39,86.67,69.66,1,116,723,425,125,2,2,0,18,13,4785,33106.9,462.14,1104.71,334.1
A4-NOL2,33,1500,45,44,97.78,98.86,100.0,0,250,38,84.44,69.11,8,76,-1,550,75,14,11,0,246,65,6201,42385.9,632.9,1223.81,949.4
A4-NOL2,34,959,45,45,100.0,94.71,100.0,1,250,41,91.11,67.1,1,81,959,600,100,2,1,0,11,3,6581,42442.9,509.42,1409.43,488.6
A4-NOL2,35,1201,45,45,100.0,96.2,99.73,1,250,37,82.22,66.36,1,112,1201,750,75,10,6,0,153,53,6700,46658.6,378.81,792.31,455.0
A4-NOL2,36,643,45,45,100.0,97.28,97.05,1,250,27,60.0,71.0,1,117,643,425,325,6,6,0,173,26,2234,27165.5,297.23,543.32,191.1
A4-NOL2,37,815,45,45,100.0,97.1,99.83,1,250,35,77.78,68.99,1,138,815,550,150,6,6,0,103,101,5601,34621.9,372.28,892.86,303.4
A4-NOL2,38,751,45,45,100.0,98.36,99.68,1,250,34,75.56,76.59,1,106,751,450,125,4,4,0,96,23,4888,37741.8,223.01,427.12,167.5
A4-NOL2,39,1500,45,44,97.78,98.86,100.0,0,250,28,62.22,69.85,19,134,-1,650,150,9,4,0,139,70,7740,51348.3,653.46,1211.36,980.2
A4-NOL2,40,1151,45,45,100.0,96.94,99.44,1,250,33,73.33,62.58,1,169,1151,625,175,9,6,0,5,2,7043,38560.2,475.9,942.25,547.8
A4-NOL2,41,1500,45,43,95.56,96.23,99.82,0,250,31,68.89,64.74,15,117,-1,675,200,12,6,0,31,8,10767,43405.1,481.41,774.83,722.2
A4-NOL2,42,1047,45,45,100.0,99.19,99.78,1,250,33,73.33,68.52,1,145,1047,525,200,3,2,0,24,10,8213,43120.1,451.22,1149.84,472.5
A4-NOL2,43,1500,45,44,97.78,98.64,100.0,0,250,33,73.33,73.65,16,123,-1,475,125,6,6,0,15,7,5451,42800.9,1073.67,2008.66,1610.6
A4-NOL2,44,996,45,45,100.0,96.1,100.0,1,250,37,82.22,72.73,22,139,996,500,75,4,4,0,249,112,6519,39757.4,548.16,1249.63,546.0
A4-NOL2,45,841,45,45,100.0,97.41,100.0,1,250,35,77.78,69.75,5,115,841,550,125,2,2,0,60,41,5959,35783.6,375.26,709.59,315.6
A4-NOL2,46,1164,45,45,100.0,98.41,100.0,1,250,35,77.78,75.33,1,140,1164,425,125,3,3,0,144,24,5157,40564.2,863.82,1695.11,1005.5
A4-NOL2,47,1500,45,44,97.78,96.54,100.0,0,250,38,84.44,62.69,1,160,-1,950,125,14,12,0,38,15,9115,46468.3,524.8,843.82,787.3
A4-NOL2,48,1147,45,45,100.0,99.11,85.92,1,250,33,73.33,70.03,1,139,1147,500,150,4,3,0,27,27,5368,40631.3,699.94,1384.77,802.9
A4-NOL2,49,1500,45,43,95.56,97.66,100.0,0,250,31,68.89,69.45,10,164,-1,500,125,8,6,0,10,10,6667,41524.7,996.99,1768.71,1495.5
A4-NOL2,50,1419,45,45,100.0,99.5,100.0,1,250,34,75.56,70.99,1,128,1419,550,125,14,5,0,13,10,8812,51475.9,540.56,1104.08,767.1
A5-NORESC,31,1500,45,44,97.78,98.95,100.0,0,250,38,84.44,78.55,7,86,-1,375,175,3,3,0,186,86,5737,44486.4,1187.43,2181.34,1781.2
A5-NORESC,32,488,45,45,100.0,94.51,99.21,1,250,37,82.22,71.1,1,125,488,425,125,4,4,0,0,0,3615,25478.1,202.08,331.33,98.6
A5-NORESC,33,800,45,45,100.0,97.68,99.74,1,250,35,77.78,70.1,10,66,800,525,75,5,5,0,251,70,4181,33076.5,331.01,854.84,264.8
A5-NORESC,34,918,45,45,100.0,96.16,100.0,1,250,41,91.11,69.9,1,93,918,525,75,4,4,0,37,27,6172,37275.6,513.93,1258.78,471.8
A5-NORESC,35,1500,45,44,97.78,98.26,100.0,0,250,32,71.11,64.24,1,105,-1,725,75,6,5,0,323,50,8371,44848.1,717.94,1417.04,1077.0
A5-NORESC,36,1500,45,44,97.78,98.84,98.35,0,250,28,62.22,73.89,1,153,-1,450,175,13,8,0,146,24,4519,39953.4,779.0,1477.12,1168.6
A5-NORESC,37,716,45,45,100.0,96.31,99.24,1,250,34,75.56,69.34,1,127,716,500,125,5,5,0,83,72,5164,34778.3,309.9,637.3,221.9
A5-NORESC,38,747,45,45,100.0,98.99,98.92,1,250,39,86.67,73.56,1,92,747,400,100,2,2,0,108,29,4210,34662.7,417.3,1098.31,311.7
A5-NORESC,39,1500,45,44,97.78,98.94,100.0,0,250,32,71.11,73.34,3,89,-1,450,100,5,4,0,17,15,5709,42410.7,1003.76,2019.99,1505.7
A5-NORESC,40,1500,45,44,97.78,96.73,98.65,0,250,32,71.11,61.53,1,136,-1,700,150,12,8,0,397,122,7170,42472.5,488.28,1021.4,732.5
A5-NORESC,41,1500,45,42,93.33,96.58,99.37,0,250,32,71.11,67.44,15,114,-1,675,100,14,5,0,205,58,10725,43220.2,548.66,847.02,823.0
A5-NORESC,42,1500,45,43,95.56,98.35,99.12,0,250,36,80.0,66.18,1,127,-1,475,150,9,4,0,258,160,7173,45607.0,880.3,1795.08,1320.5
A5-NORESC,43,702,45,45,100.0,97.48,99.31,1,250,35,77.78,75.55,20,141,702,450,150,7,7,0,111,69,2896,32412.7,283.76,537.49,199.2
A5-NORESC,44,479,45,45,100.0,89.91,100.0,1,250,32,71.11,70.49,8,156,479,-1,125,2,2,0,589,170,3574,24815.5,215.52,329.53,103.3
A5-NORESC,45,1109,45,45,100.0,97.84,100.0,1,250,32,71.11,67.35,6,94,1109,575,125,3,2,0,267,71,7712,41072.1,600.08,1257.41,665.5
A5-NORESC,46,1500,45,44,97.78,97.78,99.86,0,250,35,77.78,73.59,1,115,-1,425,100,8,6,0,147,24,6806,42918.1,1031.4,1780.0,1547.1
A5-NORESC,47,1500,45,44,97.78,97.31,100.0,0,250,30,66.67,61.49,1,198,-1,750,100,19,17,0,40,34,10125,40905.8,458.13,767.44,687.2
A5-NORESC,48,838,45,45,100.0,96.97,100.0,1,250,34,75.56,69.73,1,154,838,475,150,4,4,0,32,20,4916,33325.3,450.88,977.21,377.9
A5-NORESC,49,1500,45,43,95.56,97.76,100.0,0,250,37,82.22,71.88,31,151,-1,525,125,11,9,0,3,2,7649,39465.4,820.06,1727.98,1230.1
A5-NORESC,50,633,45,45,100.0,96.89,99.36,1,250,34,75.56,70.57,1,89,633,425,75,2,2,0,79,75,4910,34363.2,237.67,568.47,150.5
B1-NOCONG,31,370,45,45,100.0,92.55,90.89,1,250,42,93.33,80.12,7,74,370,350,125,3,3,0,111,110,2135,28529.1,140.1,216.21,51.8
B1-NOCONG,32,557,45,45,100.0,96.35,99.92,1,250,40,88.89,73.75,1,115,557,425,125,10,10,0,1,1,3316,33707.6,211.96,348.58,118.1
B1-NOCONG,33,828,45,45,100.0,98.59,99.09,1,250,40,88.89,78.41,18,96,828,375,75,9,7,0,182,53,2993,43082.1,376.68,709.78,311.9
B1-NOCONG,34,1500,45,44,97.78,96.31,98.18,0,250,36,80.0,75.51,1,100,-1,425,75,8,3,0,33,28,4101,47069.8,1250.87,2057.48,1876.4
B1-NOCONG,35,1500,45,44,97.78,99.11,99.64,0,250,36,80.0,73.65,1,119,-1,475,100,17,6,0,13,3,5410,49185.7,641.14,1127.52,961.8
B1-NOCONG,36,799,45,45,100.0,97.72,98.82,1,250,28,62.22,75.66,1,167,799,425,475,17,12,0,163,20,2416,36813.4,270.24,440.49,215.9
B1-NOCONG,37,620,45,45,100.0,96.92,99.41,1,250,35,77.78,74.0,1,163,620,425,125,8,8,0,12,11,3172,38196.1,265.26,477.0,164.5
B1-NOCONG,38,496,45,45,100.0,95.84,99.03,1,250,40,88.89,75.7,1,87,496,400,100,3,3,0,71,16,2777,34345.3,203.61,370.25,101.0
B1-NOCONG,39,1500,45,44,97.78,99.05,100.0,0,250,36,80.0,74.19,3,87,-1,475,100,19,12,0,86,74,4594,45016.0,706.95,1275.39,1060.5
B1-NOCONG,40,1500,45,43,95.56,96.75,99.6,0,250,32,71.11,71.34,1,143,-1,450,150,12,7,0,93,44,3514,42063.3,644.2,972.92,966.4
B1-NOCONG,41,1500,45,43,95.56,95.58,98.93,0,250,28,62.22,67.35,16,215,-1,600,250,14,7,1,1111,840,6782,41206.6,682.69,1061.86,1024.1
B1-NOCONG,42,561,45,45,100.0,95.06,98.01,1,250,33,73.33,72.2,1,110,561,450,125,4,4,1,275,158,3798,36702.9,218.71,346.51,122.7
B1-NOCONG,43,564,45,45,100.0,97.4,98.96,1,250,39,86.67,76.22,20,94,564,375,125,8,8,0,79,35,2221,35564.9,217.97,398.0,123.0
B1-NOCONG,44,646,45,45,100.0,94.01,95.7,1,250,35,77.78,72.81,12,176,646,475,100,8,8,0,1,1,3827,38583.7,275.16,532.68,177.8
B1-NOCONG,45,730,45,45,100.0,97.66,96.35,1,250,37,82.22,74.42,6,93,730,425,100,3,3,0,17,16,4216,39220.6,433.43,909.03,316.4
