variant,n_seeds,seed,steps_ran,survivors,found,found_pct,cov_pct,stair_pct,completed,deadline,found_deadline,found_deadline_pct,cov_deadline,t_first_found,t_half_found,t_all_found,t_cov90,t_stair50,deaths,hazard_deaths,stranded_end,blackout_total,blackout_max,relay_duty_ticks,battery_used,step_mean_ms,step_p90_ms,wall_s
A0-FULL,20,40.5,1120.7,45.0,44.45,98.778,96.819,99.739,0.6,250.0,35.0,77.778,70.004,5.0,118.6,520.3,538.75,110.0,7.0,5.35,0.05,185.0,66.6,6380.4,39412.185,494.352,933.202,624.095
A1-NOCLUS,20,40.5,1158.3,45.0,44.45,98.778,96.919,99.662,0.6,250.0,35.9,79.777,70.264,4.9,100.0,557.9,502.45,96.25,6.8,5.8,0.2,211.25,63.1,5943.7,39094.175,602.184,1174.933,769.295
A2-GREEDY,20,40.5,1153.85,45.0,44.35,98.556,97.727,99.533,0.5,250.0,32.75,72.778,73.363,6.1,153.2,403.35,430.0,166.25,6.7,6.45,0.2,225.95,110.9,6726.65,34206.54,724.906,1232.091,940.485
A3-NODIV,20,40.5,1138.9,45.0,44.35,98.556,97.168,99.4,0.6,250.0,32.75,72.778,68.754,5.95,137.55,538.5,563.75,131.25,6.9,5.65,0.05,162.05,85.15,6428.55,39988.285,518.861,1036.435,659.91
A4-NOL2,20,40.5,1167.85,45.0,44.55,99.001,97.755,99.039,0.65,250.0,34.5,76.666,69.639,5.55,128.85,642.5,556.25,143.75,6.85,4.9,0.0,87.45,39.6,6476.95,41649.235,576.338,1163.909,719.55
A5-NORESC,20,40.5,1121.5,45.0,44.3,98.445,97.112,99.556,0.5,250.0,34.25,76.111,69.991,5.6,120.55,371.0,492.45,118.75,6.9,5.3,0.0,163.95,58.9,6066.7,37877.38,573.855,1144.254,736.905
B1-NOCONG,20,40.5,966.2,45.0,44.45,98.779,96.626,98.436,0.6,250.0,35.25,78.334,74.216,6.4,123.2,365.8,442.5,140.0,10.4,6.95,0.2,214.75,109.0,3808.55,40243.945,473.473,797.251,577.865
B2-NOCAP,20,40.5,1127.6,45.0,44.5,98.89,96.903,99.656,0.6,250.0,33.8,75.112,69.853,5.0,118.9,527.2,545.0,112.5,6.7,5.3,0.05,215.65,92.2,6624.7,38938.255,549.9,1058.337,689.58
B3-NOMF,20,40.5,1140.4,45.0,44.3,98.445,97.012,99.457,0.55,250.0,34.55,76.778,69.672,5.0,116.4,464.95,542.5,111.25,7.55,5.3,0.15,242.35,70.1,6520.2,40492.965,512.824,1003.351,650.985
A6-NOSWEEP,20,40.5,1151.6,45.0,44.4,98.668,97.161,99.32,0.5,250.0,35.1,78.0,69.88,5.0,118.6,401.1,547.5,110.0,6.95,5.55,0.1,205.8,92.05,6390.0,38900.405,517.395,993.734,663.505
B5-NOTRAV,20,40.5,1192.85,45.0,44.35,98.557,97.194,99.317,0.5,250.0,33.95,75.445,70.1,6.3,125.7,442.35,533.75,136.25,7.45,4.7,0.1,222.7,78.7,7368.95,41238.335,580.59,1114.496,754.51
B6-NOSUB,20,40.5,1143.3,45.0,44.35,98.556,97.051,99.457,0.55,250.0,34.85,77.445,71.623,5.65,119.95,467.85,464.95,131.25,6.8,5.25,0.1,128.0,51.25,6281.75,38724.755,597.269,1103.961,788.26
B7-NOGAME,20,40.5,1083.7,45.0,44.4,98.668,96.549,99.792,0.55,250.0,36.1,80.222,69.237,5.15,100.4,408.25,504.95,87.5,5.4,2.3,0.25,220.9,53.55,6799.85,41403.215,548.327,1105.413,702.37
X-NEITHER,20,40.5,1097.8,45.0,44.4,98.668,97.54,98.66,0.5,250.0,31.55,70.111,72.322,6.95,165.9,347.3,437.5,211.25,5.15,4.35,0.3,265.5,61.8,6667.9,33744.55,726.93,1289.407,958.055
