variant,seed,steps_ran,survivors,found,found_pct,cov_pct,stair_pct,completed,deadline,found_deadline,found_deadline_pct,cov_deadline,t_first_found,t_half_found,t_all_found,t_cov90,t_stair50,deaths,hazard_deaths,stranded_end,blackout_total,blackout_max,relay_duty_ticks,battery_used,step_mean_ms,step_p90_ms,wall_s
A0-FULL,11,1500,45,44,97.78,99.97,100.0,0,250,37,82.22,75.4,4,66,-1,425,75,10,5,0,171,111,8248,49307.1,529.91,1125.24,794.9
A0-FULL,12,1500,45,44,97.78,96.45,100.0,0,250,35,77.78,63.19,1,119,-1,575,75,12,8,0,16,8,10689,47067.0,582.63,1100.36,874.0
A0-FULL,13,733,45,45,100.0,96.63,98.88,1,250,39,86.67,66.24,1,93,733,525,175,6,6,0,3,1,3438,29873.8,302.23,545.57,221.6
A0-FULL,14,568,45,45,100.0,96.37,99.55,1,250,30,66.67,74.42,12,125,568,400,100,3,3,0,120,67,3745,29922.6,183.5,322.67,104.2
A0-FULL,15,1500,45,44,97.78,98.88,99.84,0,250,37,82.22,66.83,1,98,-1,525,125,8,5,0,296,139,8053,43461.8,731.48,1661.86,1097.3
A0-FULL,16,934,45,45,100.0,96.21,98.93,1,250,30,66.67,66.99,10,155,934,575,125,12,11,1,436,279,6967,35372.5,277.17,438.88,258.9
A0-FULL,17,442,45,45,100.0,89.37,98.72,1,250,39,86.67,71.14,9,130,442,-1,150,1,1,0,59,59,2861,22881.4,186.02,300.18,82.2
A0-FULL,18,1500,45,41,91.11,98.36,83.14,0,250,25,55.56,64.18,1,151,-1,650,150,14,6,0,140,32,11696,48264.2,551.73,1033.28,827.7
A0-FULL,19,1500,45,44,97.78,98.3,99.67,0,250,38,84.44,69.98,4,120,-1,500,100,8,5,0,134,91,7632,42703.9,850.62,1506.5,1276.0
A0-FULL,20,1500,45,44,97.78,98.41,99.58,0,250,35,77.78,68.23,18,92,-1,575,75,15,12,0,189,144,8310,43020.1,537.3,973.85,806.0
A0-FULL,21,695,45,45,100.0,94.94,99.88,1,250,35,77.78,69.05,1,118,695,500,100,3,3,0,105,19,4478,33696.3,212.54,370.6,147.7
A0-FULL,22,1500,45,44,97.78,99.47,99.06,0,250,32,71.11,75.25,9,153,-1,400,175,7,5,0,44,33,5099,42469.2,1115.27,2086.45,1673.0
A0-FULL,23,734,45,45,100.0,97.93,98.63,1,250,36,80.0,72.31,1,97,734,475,175,3,3,0,252,91,5892,36582.2,241.62,510.14,177.4
A0-FULL,24,587,45,45,100.0,92.27,99.76,1,250,33,73.33,64.92,1,92,587,550,100,7,7,0,85,14,4277,25039.3,195.92,331.92,115.0
A0-FULL,25,824,45,45,100.0,91.46,100.0,1,250,41,91.11,71.69,2,65,824,750,75,6,6,0,0,0,5757,35233.4,240.58,387.42,198.3
A0-FULL,26,894,45,45,100.0,95.63,98.99,1,250,35,77.78,66.85,2,86,894,650,100,5,5,0,464,266,6199,42370.7,357.15,791.94,319.3
A0-FULL,27,733,45,45,100.0,95.18,100.0,1,250,38,84.44,72.45,1,76,733,450,75,3,3,0,138,29,4998,35881.7,393.24,1065.1,288.3
A0-FULL,28,419,45,45,100.0,93.25,99.12,1,250,30,66.67,76.83,1,155,419,375,200,1,1,0,45,32,2275,22378.4,231.65,356.62,97.1
A0-FULL,29,1500,45,44,97.78,99.09,99.56,0,250,31,68.89,66.59,1,113,-1,625,125,10,4,0,238,118,9247,53189.8,710.47,1485.15,1065.8
A0-FULL,30,1126,45,45,100.0,97.15,99.61,1,250,35,77.78,61.83,3,120,1126,675,200,9,6,0,138,99,7969,38985.2,451.72,751.77,508.7
A1-NOCLUS,11,650,45,45,100.0,99.34,99.76,1,250,38,84.44,75.02,4,84,650,375,75,5,5,0,184,184,3795,29928.3,295.66,559.21,192.2
A1-NOCLUS,12,436,45,45,100.0,84.34,99.28,1,250,40,88.89,66.89,1,79,436,-1,75,6,6,0,0,0,3362,20560.1,194.84,340.56,85.0
A1-NOCLUS,13,797,45,45,100.0,98.77,99.04,1,250,36,80.0,70.81,1,147,797,475,200,7,7,0,129,61,3557,29173.6,427.18,888.72,340.5
A1-NOCLUS,14,737,45,45,100.0,98.95,98.09,1,250,34,75.56,75.44,12,110,737,425,100,3,3,0,67,61,4724,37683.9,258.68,519.09,190.7
