n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,101,steps_run,1500
10,10,90,810.0,101,survivors,9
10,10,90,810.0,101,final_cov,95.49
10,10,90,810.0,101,final_found,5
10,10,90,810.0,101,found_frac,0.556
10,10,90,810.0,101,deaths,2
10,10,90,810.0,101,hazard_deaths,0
10,10,90,810.0,101,battery_deaths,2
10,10,90,810.0,101,peak_relays,6
10,10,90,810.0,101,t_first_found,1
10,10,90,810.0,101,t_half_found,322
10,10,90,810.0,101,t_all_found,-1
10,10,90,810.0,101,completed,0
10,10,90,810.0,101,wall_s,33.4
10,10,90,810.0,101,step_mean_ms,22.277
10,10,90,810.0,101,step_p50_ms,21.215
10,10,90,810.0,101,step_p90_ms,31.956
10,10,90,810.0,101,step_max_ms,47.741
10,10,90,810.0,101,ground_mean_ms,9.829
10,10,90,810.0,101,ground_p90_ms,13.727
10,10,90,810.0,101,astar_sum_mean_ms,12.448
10,10,90,810.0,101,astar_max_mean_ms,3.368
10,10,90,810.0,101,astar_max_p90_ms,5.709
10,10,90,810.0,101,dist_mean_ms,13.197
10,10,90,810.0,101,dist_p90_ms,17.487
10,10,90,810.0,101,role_ms,1.254
10,10,90,810.0,101,alloc_ms,0.286
10,10,90,810.0,101,relay_cover_ms,0.076
10,10,90,810.0,101,explorer_move_ms,15.508
10,10,90,810.0,101,relay_move_ms,0.381
10,10,90,810.0,101,astar_explorer_ms,12.311
10,10,90,810.0,101,astar_relay_ms,0.136
10,10,90,810.0,101,other_ms,4.772
10,10,90,810.0,101,step_ms_per_robot,2.2277
10,10,90,810.0,101,ground_ms_per_robot,0.9829
10,10,90,810.0,101,role_ms_per_robot,0.1254
10,10,90,810.0,101,alloc_ms_per_robot,0.0286
10,10,90,810.0,101,relay_cover_ms_per_robot,0.0076
10,10,90,810.0,101,explorer_move_ms_per_robot,1.5508
10,10,90,810.0,101,relay_move_ms_per_robot,0.0381
10,10,90,810.0,102,steps_run,1232
