n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,101,1500,9,95.49,5,0.556,2,0,2,6,1,322,-1,0,33.4,22.277,21.215,31.956,47.741,9.829,13.727,12.448,3.368,5.709,13.197,17.487,1.254,0.286,0.076,15.508,0.381,12.311,0.136,4.772,2.2277,0.9829,0.1254,0.0286,0.0076,1.5508,0.0381
10,10,90,810.0,102,1232,9,96.77,9,1.0,3,0,3,6,141,394,1232,1,27.3,22.129,15.542,48.833,61.997,9.573,13.177,12.555,3.389,6.372,12.962,18.969,1.201,0.283,0.109,15.247,0.621,12.342,0.214,4.668,2.2129,0.9573,0.1201,0.0283,0.0109,1.5247,0.0621
10,10,90,810.0,103,1500,9,95.21,5,0.556,2,0,2,6,1,97,-1,0,42.4,28.264,29.309,37.009,53.119,10.007,14.737,18.257,5.063,6.073,15.07,19.754,1.37,0.319,0.038,20.855,0.176,18.25,0.007,5.507,2.8264,1.0007,0.137,0.0319,0.0038,2.0855,0.0176
10,10,90,810.0,104,904,9,95.59,9,1.0,3,0,3,6,1,41,904,1,18.2,20.077,19.722,32.914,59.725,11.777,14.616,8.299,3.391,6.438,15.168,20.611,2.952,0.45,0.116,9.784,0.309,8.271,0.028,6.465,2.0077,1.1777,0.2952,0.045,0.0116,0.9784,0.0309
10,10,90,810.0,105,1500,9,94.02,6,0.667,2,0,2,5,72,341,-1,0,24.9,16.617,14.586,27.716,47.876,10.1,14.88,6.517,3.258,5.638,13.357,18.656,2.525,0.354,0.041,8.602,0.19,6.504,0.013,4.904,1.6617,1.01,0.2525,0.0354,0.0041,0.8602,0.019
10,10,90,810.0,106,1500,9,93.68,7,0.778,2,0,2,5,1,89,-1,0,35.1,23.406,24.208,28.467,51.41,10.086,13.87,13.32,4.268,5.752,14.355,18.64,1.347,0.341,0.057,16.565,0.303,13.312,0.008,4.794,2.3406,1.0086,0.1347,0.0341,0.0057,1.6565,0.0303
10,10,90,810.0,107,1500,9,99.88,8,0.889,3,0,3,5,10,61,-1,0,21.1,14.034,11.1,29.198,59.857,8.241,13.561,5.793,2.556,6.37,10.797,19.31,1.477,0.3,0.112,7.656,0.247,5.769,0.024,4.243,1.4034,0.8241,0.1477,0.03,0.0112,0.7656,0.0247
10,10,90,810.0,108,1500,9,99.22,6,0.667,3,0,3,4,16,121,-1,0,30.8,20.497,19.329,29.609,57.102,9.174,15.3,11.323,3.378,6.157,12.551,19.917,1.596,0.334,0.068,13.735,0.369,11.184,0.139,4.394,2.0497,0.9174,0.1596,0.0334,0.0068,1.3735,0.0369
10,10,90,810.0,109,727,9,91.63,9,1.0,2,0,2,4,61,153,727,1,16.1,22.113,20.728,36.835,86.451,10.551,13.044,11.562,4.056,6.894,14.607,18.562,1.171,0.489,0.042,13.509,0.424,11.481,0.08,6.479,2.2113,1.0551,0.1171,0.0489,0.0042,1.3509,0.0424
10,10,90,810.0,110,1500,9,96.44,8,0.889,3,0,3,6,8,31,-1,0,19.6,13.085,11.89,19.588,42.971,7.613,10.449,5.472,2.882,6.315,10.495,13.962,1.516,0.192,0.11,6.334,0.76,5.348,0.123,4.172,1.3085,0.7613,0.1516,0.0192,0.011,0.6334,0.076
10,10,90,810.0,111,981,9,98.59,9,1.0,1,0,1,6,42,204,981,1,26.9,27.443,26.529,42.988,65.36,10.394,13.396,17.049,4.55,6.699,14.943,19.879,1.183,0.295,0.116,17.551,2.147,15.544,1.505,6.15,2.7443,1.0394,0.1183,0.0295,0.0116,1.7551,0.2147
10,10,90,810.0,112,843,9,96.26,9,1.0,3,0,3,6,6,130,843,1,19.0,22.55,20.025,37.744,73.534,10.377,13.372,12.172,3.54,6.377,13.917,18.606,1.025,0.4,0.143,14.02,0.756,11.772,0.4,6.205,2.255,1.0377,0.1025,0.04,0.0143,1.402,0.0756
10,10,90,810.0,113,1500,9,97.85,8,0.889,1,0,1,6,2,32,-1,0,29.8,19.848,18.338,30.797,84.369,9.582,14.26,10.266,4.157,6.115,13.739,19.953,2.46,0.298,0.113,11.471,0.707,10.157,0.109,4.8,1.9848,0.9582,0.246,0.0298,0.0113,1.1471,0.0707
