seed,tick,n_active,n_changed,to_relay,from_relay,from_loiter,W_eq,W_best,welfare_gap_per_robot,efficiency,plateau_gain
10,600,9,5,1,2,0,47.032,51.728,0.0831,0.9169,0.0
10,800,9,7,4,0,0,44.887,56.893,0.2112,0.7888,0.0
10,1200,7,2,1,0,0,60.697,64.893,0.0667,0.9333,0.0
10,1600,6,2,1,0,0,123.767,127.17,0.0274,0.9726,0.0
10,2000,6,3,2,0,0,26.685,33.154,0.2088,0.7912,0.0
11,100,12,11,3,6,0,92.596,108.01,0.1405,0.8595,0.0
11,200,12,8,3,1,0,52.304,69.561,0.2927,0.7073,0.03416
11,300,12,5,3,1,0,49.768,143.954,1.6584,-0.6584,0.0
11,450,12,7,4,1,0,45.264,65.326,0.3103,0.6897,0.00174
11,600,10,3,3,0,1,52.128,66.015,0.2475,0.7525,0.0
11,800,8,6,3,1,0,49.396,60.375,0.1874,0.8126,0.0
11,1200,6,5,3,2,0,46.686,51.492,0.0945,0.9055,0.0
11,1600,4,3,1,1,0,7.607,13.524,0.7778,0.2222,0.0
11,2000,3,0,0,0,0,17.48,17.48,0.0,1.0,0.0
12,100,12,10,2,7,0,1.042,12.026,0.5885,0.4115,0.0
12,200,12,9,5,3,1,99.428,114.908,0.1445,0.8555,0.0
12,300,12,8,5,1,0,50.813,65.884,0.2578,0.7422,0.0
12,450,12,8,4,3,0,2.739,106.044,5.7065,-4.7065,0.0
12,600,12,6,2,2,1,2.598,9.428,0.5967,0.4033,0.0
12,800,8,4,1,1,1,50.017,50.584,0.0102,0.9898,0.0
12,1200,4,1,0,0,0,6.948,7.0,0.0075,0.9925,0.0
12,1600,4,1,0,0,0,6.208,9.153,0.4009,0.5991,0.0
12,2000,4,0,0,0,0,15.458,15.458,0.0,1.0,0.0
13,100,12,8,2,4,0,4.62,62.757,2.7976,-1.7976,0.0
13,200,12,6,2,2,0,246.203,255.679,0.0377,0.9623,0.0
13,300,12,6,3,1,0,2.597,58.626,4.0464,-3.0464,0.0
13,450,12,5,2,1,0,-4.036,7.608,1.4496,-0.4496,0.0
13,600,11,3,1,1,0,99.764,104.523,0.0451,0.9549,0.0
13,800,9,4,0,1,1,19.934,23.357,0.1167,0.8833,0.0
13,1200,7,2,1,0,0,31.093,39.386,0.2447,0.7553,0.0
13,1600,5,1,0,0,0,23.197,28.861,0.2148,0.7852,0.0
13,2000,5,2,0,0,0,27.153,30.779,0.1055,0.8945,0.0
14,100,12,9,5,3,0,53.373,76.487,0.3975,0.6025,0.0
14,200,12,7,4,2,0,104.128,210.73,0.9535,0.0465,0.0
14,300,12,8,5,2,1,93.871,151.828,0.5361,0.4639,0.0
14,450,12,6,3,1,0,5.765,19.493,0.7413,0.2587,0.0
14,600,10,7,3,2,0,47.04,149.33,1.833,-0.833,0.0
14,800,8,4,1,1,0,1.063,5.514,0.814,0.186,0.0
14,1200,4,1,0,0,0,59.176,59.418,0.004,0.996,0.0
14,1600,4,0,0,0,0,8.156,8.156,0.0,1.0,0.0
14,2000,3,1,0,1,0,68.679,78.827,0.1478,0.8522,0.0
15,100,12,9,1,6,0,45.032,55.377,0.1489,0.8511,0.0
15,200,12,6,3,0,0,152.095,163.601,0.0711,0.9289,0.0
15,300,12,7,3,2,1,99.248,109.838,0.0979,0.9021,0.0
15,450,12,9,2,2,1,-0.415,44.585,4.6631,-3.6631,0.0
15,600,11,6,4,2,0,49.185,51.137,0.0351,0.9649,0.0
15,800,9,4,3,0,1,11.486,15.052,0.2017,0.7983,0.0
15,1200,7,5,0,3,0,9.427,26.836,1.1451,-0.1451,0.0
15,1600,5,3,0,2,0,55.208,67.8,0.2018,0.7982,0.0
15,2000,4,0,0,0,0,20.587,20.587,0.0,1.0,0.0
16,100,12,12,4,4,0,44.484,66.852,0.4053,0.5947,0.0
16,200,12,9,4,3,0,43.762,105.857,0.9947,0.0053,0.0
16,300,12,9,5,3,0,45.064,101.124,0.9448,0.0552,0.00425
16,450,12,5,2,2,1,101.55,246.532,1.2517,-0.2517,0.0
16,600,10,7,4,2,1,46.492,59.373,0.2341,0.7659,0.0
16,800,9,4,2,1,0,58.561,72.814,0.2321,0.7679,0.0
16,1200,4,0,0,0,0,14.62,14.62,0.0,1.0,0.0
16,1600,3,1,0,0,0,7.553,12.256,0.6227,0.3773,0.0
16,2000,3,0,0,0,0,12.871,12.871,0.0,1.0,0.0
17,100,12,7,2,5,0,5.662,13.345,0.4927,0.5073,0.0
17,200,12,9,3,3,0,4.434,58.371,4.0301,-3.0301,0.0
17,300,12,7,5,1,0,151.776,262.223,0.6718,0.3282,0.0
17,450,11,7,4,0,2,-0.569,11.269,1.1733,-0.1733,0.0
17,600,11,8,5,1,2,-4.667,11.465,1.9974,-0.9974,0.0
17,800,7,5,2,0,0,3.673,15.387,1.1093,-0.1093,0.0
17,1200,6,2,1,0,0,15.829,26.303,0.606,0.394,0.0
17,1600,4,0,0,0,0,12.663,12.663,0.0,1.0,0.0
17,2000,4,1,1,0,0,12.204,14.239,0.1608,0.8392,0.0
18,100,12,8,1,6,0,47.439,100.857,0.7705,0.2295,0.0
18,200,12,6,4,2,0,6.171,65.683,5.426,-4.426,0.0
18,300,12,5,3,0,0,93.796,234.4,1.3974,-0.3974,0.0
18,450,12,10,5,0,0,96.1,337.533,2.3566,-1.3566,0.0
18,600,9,5,3,0,0,46.464,197.166,2.9005,-1.9005,0.0
18,800,8,5,2,1,0,28.92,151.691,4.1589,-3.1589,0.0
18,1200,7,1,1,0,0,117.123,119.341,0.0189,0.9811,0.0
18,1600,6,4,2,1,0,53.534,65.937,0.1997,0.8003,0.0
18,2000,6,1,0,0,0,29.98,30.245,0.0088,0.9912,0.0
19,100,12,10,3,5,0,89.754,120.242,0.2984,0.7016,0.0
19,200,12,10,4,2,1,47.963,148.871,1.6467,-0.6467,0.0
19,300,12,9,2,2,0,89.661,97.064,0.068,0.932,0.0
19,450,12,9,5,2,0,98.917,101.244,0.0213,0.9787,0.0
19,600,12,8,5,1,1,87.416,111.17,0.2155,0.7845,0.0
19,800,9,4,0,2,1,-2.808,2.89,0.4818,0.5182,0.0
19,1200,6,1,0,1,0,35.068,35.662,0.0166,0.9834,0.0
19,1600,5,2,0,0,0,37.945,40.943,0.079,0.921,0.0
19,2000,4,2,0,2,0,-2.892,-0.673,0.7674,0.2326,0.0
20,100,12,8,4,2,0,20.23,32.945,0.5427,0.4573,0.0
20,200,12,11,5,3,1,45.657,211.404,2.7292,-1.7292,0.0
20,300,12,9,6,2,1,41.862,68.059,0.4358,0.5642,0.0
20,450,12,8,4,3,1,96.406,107.372,0.099,0.901,0.0
20,600,10,9,2,3,0,-1.609,97.748,9.6877,-8.6877,0.0
20,800,8,2,1,1,0,0.494,4.929,0.5862,0.4138,0.0
20,1200,4,3,0,1,0,11.322,18.366,0.5908,0.4092,0.0
20,1600,4,3,0,2,0,6.816,9.135,0.2316,0.7684,0.0
20,2000,4,2,2,0,0,11.44,15.288,0.3244,0.6756,0.0
21,100,12,11,3,4,0,145.582,156.284,0.0681,0.9319,0.0
21,200,12,8,3,3,0,96.7,154.365,0.5433,0.4567,0.0
21,300,12,8,4,1,0,93.484,149.067,0.5276,0.4724,0.0
21,450,12,7,7,0,1,2.878,22.151,1.541,-0.541,0.0
21,600,11,6,2,1,1,-1.448,3.722,0.8473,0.1527,0.0
21,800,9,6,1,2,0,110.773,117.081,0.0569,0.9431,0.0
21,1200,7,5,1,2,0,58.017,63.595,0.0936,0.9064,0.0
21,1600,7,3,0,2,0,52.751,57.433,0.0887,0.9113,0.0
21,2000,7,3,0,2,0,51.011,55.351,0.0828,0.9172,0.0
22,100,12,10,3,4,0,-3.023,195.718,15.918,-14.918,0.0
22,200,12,10,2,4,0,91.84,144.886,0.4941,0.5059,0.0
22,300,12,9,5,1,2,-1.884,25.357,2.1369,-1.1369,0.0
22,450,12,7,5,1,1,-4.963,67.134,6.2006,-5.2006,0.0
22,600,10,7,3,0,1,-3.006,18.26,1.2832,-0.2832,0.0
22,800,10,7,5,1,1,45.191,124.82,1.2169,-0.2169,0.0
22,1200,5,3,0,2,0,13.709,20.11,0.3385,0.6615,0.0
22,1600,4,2,1,0,0,15.471,18.338,0.1853,0.8147,0.0
22,2000,4,1,0,1,0,11.113,18.666,0.4806,0.5194,0.0
23,100,12,8,4,4,0,54.431,64.351,0.1491,0.8509,0.0
23,200,12,10,6,2,2,197.482,293.011,0.4579,0.5421,0.0
23,300,11,7,3,2,0,2.877,51.267,3.7765,-2.7765,0.0
23,450,11,4,2,1,0,1.669,46.472,4.9846,-3.9846,0.0
23,600,9,4,1,1,0,-2.018,3.69,1.3412,-0.3412,0.0
23,800,7,3,3,0,0,7.164,13.715,0.7493,0.2507,0.0
23,1200,7,5,1,2,1,12.408,14.393,0.1065,0.8935,0.0
23,1600,4,1,0,0,0,25.601,26.866,0.0483,0.9517,0.0
