metric,exponent,n_sizes
step_mean_ms,1.433,10
ground_mean_ms,1.452,10
astar_max_mean_ms,1.011,10
explorer_move_ms,1.422,10
relay_move_ms,1.188,10
alloc_ms,2.026,10
role_ms,1.074,10
relay_cover_ms,0.859,10
step_ms_per_robot,0.433,10
ground_ms_per_robot,0.453,10
