n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,11,1500,9,98.51,7,0.778,4,0,4,6,24,156,-1,0,21.3,14.199,15.014,24.83,51.67,8.759,15.285,5.44,1.84,5.702,10.599,17.302,1.36,0.299,0.136,7.822,0.278,5.402,0.037,4.304,1.4199,0.8759,0.136,0.0299,0.0136,0.7822,0.0278
10,10,90,810.0,12,1500,9,98.38,8,0.889,2,0,2,6,36,178,-1,0,23.8,15.877,13.618,25.592,46.769,7.901,12.132,7.977,4.161,6.513,12.061,16.483,0.856,0.26,0.085,9.427,0.629,7.697,0.28,4.62,1.5877,0.7901,0.0856,0.026,0.0085,0.9427,0.0629
10,10,90,810.0,13,1500,9,98.98,8,0.889,3,0,3,6,3,438,-1,0,29.1,19.407,17.858,31.891,56.732,9.091,13.863,10.316,3.572,5.987,12.663,17.909,2.076,0.349,0.125,12.197,0.623,10.086,0.23,4.038,1.9407,0.9091,0.2076,0.0349,0.0125,1.2197,0.0623
10,10,90,810.0,14,1037,9,92.05,9,1.0,2,0,2,7,3,194,1037,1,18.1,17.458,14.175,29.144,50.414,9.412,12.862,8.047,2.945,5.973,12.356,17.381,1.438,0.436,0.08,8.876,1.648,7.013,1.034,4.981,1.7458,0.9412,0.1438,0.0436,0.008,0.8876,0.1648
10,10,90,810.0,15,1500,9,96.79,8,0.889,3,0,3,5,7,209,-1,0,27.2,18.124,18.324,29.439,57.536,7.302,12.799,10.822,3.512,5.766,10.814,16.95,0.938,0.273,0.044,12.935,0.203,10.812,0.01,3.73,1.8124,0.7302,0.0938,0.0273,0.0044,1.2935,0.0203
10,10,90,810.0,16,1500,9,99.68,8,0.889,1,0,1,5,6,110,-1,0,25.2,16.785,12.985,33.047,42.211,9.153,11.199,7.631,3.163,6.728,12.316,16.513,2.856,0.269,0.033,8.782,0.693,7.625,0.007,4.151,1.6785,0.9153,0.2856,0.0269,0.0033,0.8782,0.0693
10,10,90,810.0,17,578,9,81.56,9,1.0,1,0,1,6,10,38,578,1,14.0,24.25,23.386,32.972,65.566,13.68,16.67,10.57,2.371,6.212,16.051,20.667,1.605,0.41,0.114,15.058,0.269,10.55,0.021,6.794,2.425,1.368,0.1605,0.041,0.0114,1.5058,0.0269
10,10,90,810.0,18,493,9,89.15,9,1.0,0,0,0,5,61,74,493,1,9.3,18.939,14.923,36.344,64.481,13.257,16.268,5.682,2.361,6.413,15.619,21.623,1.834,0.516,0.161,7.23,0.331,5.651,0.03,8.866,1.8939,1.3257,0.1834,0.0516,0.0161,0.723,0.0331
10,10,90,810.0,19,1500,9,97.12,8,0.889,2,0,2,6,70,215,-1,0,25.0,16.672,17.047,25.906,61.703,8.258,12.318,8.414,3.059,6.529,11.317,17.231,1.2,0.225,0.117,9.693,0.93,8.156,0.258,4.507,1.6672,0.8258,0.12,0.0225,0.0117,0.9693,0.093
10,10,90,810.0,20,1500,9,89.25,7,0.778,0,0,0,5,2,109,-1,0,58.1,38.723,43.096,46.531,59.985,12.005,14.574,26.717,5.702,6.32,17.708,20.682,2.173,0.526,0.094,30.741,0.356,26.69,0.027,4.834,3.8723,1.2005,0.2173,0.0526,0.0094,3.0741,0.0356
