n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,11,steps_run,1500
10,10,90,810.0,11,survivors,9
10,10,90,810.0,11,final_cov,98.51
10,10,90,810.0,11,final_found,7
10,10,90,810.0,11,found_frac,0.778
10,10,90,810.0,11,deaths,4
10,10,90,810.0,11,hazard_deaths,0
10,10,90,810.0,11,battery_deaths,4
10,10,90,810.0,11,peak_relays,6
10,10,90,810.0,11,t_first_found,24
10,10,90,810.0,11,t_half_found,156
10,10,90,810.0,11,t_all_found,-1
10,10,90,810.0,11,completed,0
10,10,90,810.0,11,wall_s,21.3
10,10,90,810.0,11,step_mean_ms,14.199
10,10,90,810.0,11,step_p50_ms,15.014
10,10,90,810.0,11,step_p90_ms,24.83
10,10,90,810.0,11,step_max_ms,51.67
10,10,90,810.0,11,ground_mean_ms,8.759
10,10,90,810.0,11,ground_p90_ms,15.285
10,10,90,810.0,11,astar_sum_mean_ms,5.44
10,10,90,810.0,11,astar_max_mean_ms,1.84
10,10,90,810.0,11,astar_max_p90_ms,5.702
10,10,90,810.0,11,dist_mean_ms,10.599
10,10,90,810.0,11,dist_p90_ms,17.302
10,10,90,810.0,11,role_ms,1.36
10,10,90,810.0,11,alloc_ms,0.299
10,10,90,810.0,11,relay_cover_ms,0.136
10,10,90,810.0,11,explorer_move_ms,7.822
10,10,90,810.0,11,relay_move_ms,0.278
10,10,90,810.0,11,astar_explorer_ms,5.402
10,10,90,810.0,11,astar_relay_ms,0.037
10,10,90,810.0,11,other_ms,4.304
10,10,90,810.0,11,step_ms_per_robot,1.4199
10,10,90,810.0,11,ground_ms_per_robot,0.8759
10,10,90,810.0,11,role_ms_per_robot,0.136
10,10,90,810.0,11,alloc_ms_per_robot,0.0299
10,10,90,810.0,11,relay_cover_ms_per_robot,0.0136
10,10,90,810.0,11,explorer_move_ms_per_robot,0.7822
10,10,90,810.0,11,relay_move_ms_per_robot,0.0278
10,10,90,810.0,12,steps_run,1500
10,10,90,810.0,12,survivors,9
10,10,90,810.0,12,final_cov,98.38
10,10,90,810.0,12,final_found,8
10,10,90,810.0,12,found_frac,0.889
10,10,90,810.0,12,deaths,2
10,10,90,810.0,12,hazard_deaths,0
10,10,90,810.0,12,battery_deaths,2
10,10,90,810.0,12,peak_relays,6
10,10,90,810.0,12,t_first_found,36
10,10,90,810.0,12,t_half_found,178
10,10,90,810.0,12,t_all_found,-1
10,10,90,810.0,12,completed,0
10,10,90,810.0,12,wall_s,23.8
10,10,90,810.0,12,step_mean_ms,15.877
10,10,90,810.0,12,step_p50_ms,13.618
10,10,90,810.0,12,step_p90_ms,25.592
10,10,90,810.0,12,step_max_ms,46.769
10,10,90,810.0,12,ground_mean_ms,7.901
10,10,90,810.0,12,ground_p90_ms,12.132
10,10,90,810.0,12,astar_sum_mean_ms,7.977
10,10,90,810.0,12,astar_max_mean_ms,4.161
10,10,90,810.0,12,astar_max_p90_ms,6.513
10,10,90,810.0,12,dist_mean_ms,12.061
10,10,90,810.0,12,dist_p90_ms,16.483
10,10,90,810.0,12,role_ms,0.856
10,10,90,810.0,12,alloc_ms,0.26
