n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,0,1500,9,83.37,8,0.889,3,0,3,6,20,110,-1,0,67.6,45.045,48.123,57.149,102.584,12.038,16.843,33.008,6.673,9.241,18.711,24.445,2.178,0.422,0.06,37.055,0.344,32.988,0.019,4.986,4.5045,1.2038,0.2178,0.0422,0.006,3.7055,0.0344
10,10,90,810.0,1,1500,9,97.69,8,0.889,4,1,3,8,1,115,-1,0,34.2,22.806,21.138,37.689,105.752,12.414,17.721,10.392,3.751,7.269,16.165,23.952,3.331,0.282,0.129,12.796,0.285,10.355,0.037,5.983,2.2806,1.2414,0.3331,0.0282,0.0129,1.2796,0.0285
10,10,90,810.0,2,1500,9,96.75,8,0.889,3,2,1,5,26,111,-1,0,19.9,13.264,10.492,24.521,62.871,9.855,14.579,3.409,1.919,6.687,11.774,19.08,1.829,0.362,0.063,4.348,0.564,3.397,0.012,6.098,1.3264,0.9855,0.1829,0.0362,0.0063,0.4348,0.0564
10,10,90,810.0,3,732,9,87.37,9,1.0,1,0,1,5,39,148,732,1,17.4,23.704,21.394,42.039,76.725,13.233,17.33,10.471,3.983,7.571,17.215,23.451,2.516,0.37,0.19,12.226,0.442,10.411,0.059,7.96,2.3704,1.3233,0.2516,0.037,0.019,1.2226,0.0442
10,10,90,810.0,4,1197,9,99.53,9,1.0,5,2,3,5,24,105,1197,1,20.2,16.891,13.522,36.194,61.453,11.286,17.574,5.605,2.339,6.373,13.626,21.485,1.68,0.456,0.114,7.124,0.288,5.583,0.021,7.228,1.6891,1.1286,0.168,0.0456,0.0114,0.7124,0.0288
10,10,90,810.0,5,384,9,81.41,9,1.0,0,0,0,5,14,45,384,1,8.3,21.632,18.798,34.658,71.432,14.563,20.833,7.069,3.383,6.743,17.946,25.166,1.478,0.731,0.349,6.991,2.478,5.377,1.692,9.605,2.1632,1.4563,0.1478,0.0731,0.0349,0.6991,0.2478
10,10,90,810.0,6,899,9,90.99,9,1.0,2,1,1,5,1,211,899,1,21.8,24.222,19.164,47.019,84.975,13.316,17.916,10.906,3.532,7.673,16.848,23.87,2.289,0.539,0.204,12.604,0.39,10.858,0.049,8.196,2.4222,1.3316,0.2289,0.0539,0.0204,1.2604,0.039
10,10,90,810.0,7,1500,9,87.64,3,0.333,4,0,3,7,1,-1,-1,0,87.9,58.562,69.014,86.934,136.461,12.466,17.391,46.097,6.589,9.978,19.054,25.518,1.7,0.445,0.069,49.821,0.773,45.706,0.391,5.754,5.8562,1.2466,0.17,0.0445,0.0069,4.9821,0.0773
10,10,90,810.0,8,1500,9,98.17,8,0.889,2,0,2,5,25,128,-1,0,20.3,13.551,11.141,28.32,57.9,8.991,14.09,4.56,1.905,5.968,10.896,18.096,2.512,0.253,0.063,6.081,0.815,4.018,0.542,3.826,1.3551,0.8991,0.2512,0.0253,0.0063,0.6081,0.0815
10,10,90,810.0,9,770,9,86.17,9,1.0,3,0,3,6,52,319,770,1,15.8,20.493,18.601,34.499,71.434,13.246,17.272,7.248,3.199,7.019,16.445,22.415,2.45,0.495,0.241,8.441,1.449,6.438,0.809,7.418,2.0493,1.3246,0.245,0.0495,0.0241,0.8441,0.1449
20,20,126,793.8,0,1016,18,99.84,18,1.0,6,1,5,7,5,52,1016,1,61.8,60.808,46.453,130.825,373.566,28.211,44.807,32.597,8.693,15.608,36.905,57.405,3.077,1.63,0.449,37.476,0.582,32.451,0.146,17.595,3.0404,1.4106,0.1538,0.0815,0.0225,1.8738,0.0291
20,20,126,793.8,1,1500,18,99.94,17,0.944,7,1,5,7,4,90,-1,0,61.9,41.258,37.687,87.628,163.124,24.183,40.806,17.075,4.942,13.862,29.125,47.203,2.022,1.619,0.345,24.183,0.728,16.872,0.203,12.361,2.0629,1.2092,0.1011,0.0809,0.0173,1.2092,0.0364
20,20,126,793.8,2,427,18,81.22,18,1.0,0,0,0,6,3,61,427,1,26.8,62.751,52.221,113.954,204.038,36.98,50.883,25.772,8.381,15.104,45.361,64.474,3.714,3.193,0.54,31.706,1.054,25.603,0.169,22.545,3.1376,1.849,0.1857,0.1597,0.027,1.5853,0.0527
20,20,126,793.8,3,547,18,94.33,18,1.0,0,0,0,6,9,85,547,1,25.1,45.952,38.616,80.111,158.159,32.597,45.472,13.354,6.119,14.537,38.717,57.717,2.958,2.927,0.39,17.929,0.695,13.244,0.111,21.052,2.2976,1.6299,0.1479,0.1464,0.0195,0.8965,0.0348
20,20,126,793.8,4,744,18,93.83,18,1.0,5,0,5,6,1,81,744,1,48.4,65.013,61.229,96.121,183.83,34.707,47.671,30.306,9.505,14.825,44.212,59.004,2.933,1.727,0.356,35.256,4.426,26.953,3.353,20.316,3.2506,1.7353,0.1467,0.0863,0.0178,1.7628,0.2213
20,20,126,793.8,5,560,18,96.4,18,1.0,0,0,0,6,21,160,560,1,33.3,59.424,53.722,99.992,168.609,33.553,46.352,25.87,9.439,15.484,42.993,59.665,3.648,2.479,0.303,28.739,2.774,24.255,1.615,21.481,2.9712,1.6777,0.1824,0.1239,0.0152,1.4369,0.1387
20,20,126,793.8,6,986,18,97.27,18,1.0,7,1,5,7,2,101,986,1,63.9,64.826,55.712,113.04,238.828,31.428,43.58,33.398,9.616,15.412,41.044,56.573,3.637,2.338,0.449,40.35,0.758,33.259,0.139,17.294,3.2413,1.5714,0.1819,0.1169,0.0225,2.0175,0.0379
20,20,126,793.8,7,886,18,99.75,18,1.0,5,0,4,6,2,50,886,1,93.9,105.954,88.109,209.569,309.663,30.398,44.233,75.556,11.22,17.263,41.618,57.376,3.954,1.625,0.397,81.963,0.64,75.441,0.115,17.375,5.2977,1.5199,0.1977,0.0813,0.0198,4.0982,0.032
20,20,126,793.8,8,1500,18,97.64,16,0.889,9,2,7,6,6,139,-1,0,89.5,59.678,54.991,97.412,197.842,30.56,48.047,29.119,6.934,14.302,37.494,58.308,2.786,1.776,0.336,40.864,0.656,28.999,0.119,13.26,2.9839,1.528,0.1393,0.0888,0.0168,2.0432,0.0328
20,20,126,793.8,9,811,18,95.33,18,1.0,8,3,5,6,7,56,811,1,59.2,72.972,64.642,133.847,240.217,32.812,46.163,40.16,10.588,16.891,43.4,60.572,4.522,2.804,0.397,45.869,0.869,39.966,0.194,18.51,3.6486,1.6406,0.2261,0.1402,0.0198,2.2934,0.0435
30,30,156,811.2,0,1169,27,98.54,27,1.0,9,0,9,7,1,60,1169,1,115.2,98.544,83.809,166.161,343.932,54.875,78.344,43.668,12.998,23.809,67.874,92.346,4.711,6.898,0.489,54.601,1.009,43.526,0.143,30.836,3.2848,1.8292,0.157,0.2299,0.0163,1.82,0.0336
30,30,156,811.2,1,510,27,86.9,27,1.0,0,0,0,6,21,96,510,1,45.9,89.913,72.191,181.506,298.884,67.947,135.328,21.966,9.827,22.399,77.774,148.155,6.077,12.559,0.691,30.648,1.43,21.76,0.207,38.508,2.9971,2.2649,0.2026,0.4186,0.023,1.0216,0.0477
30,30,156,811.2,2,665,27,90.64,27,1.0,6,0,6,6,5,62,665,1,70.1,105.397,92.259,179.877,360.744,69.862,113.426,35.535,11.882,22.726,81.744,128.991,5.675,10.874,0.684,51.429,1.318,35.156,0.379,35.417,3.5132,2.3287,0.1892,0.3625,0.0228,1.7143,0.0439
30,30,156,811.2,3,775,27,93.43,27,1.0,8,0,8,6,1,136,775,1,75.8,97.743,82.877,171.062,316.578,67.184,122.754,30.559,9.73,20.118,76.914,136.664,4.065,11.786,0.463,39.603,7.737,24.43,6.13,34.089,3.2581,2.2395,0.1355,0.3929,0.0154,1.3201,0.2579
30,30,156,811.2,4,1500,27,99.92,26,0.963,16,0,15,7,1,128,-1,0,123.6,82.418,70.895,160.43,359.128,42.339,70.435,40.079,14.216,24.642,56.556,87.574,3.422,4.491,0.429,49.507,0.981,39.865,0.214,23.588,2.7473,1.4113,0.1141,0.1497,0.0143,1.6502,0.0327
30,30,156,811.2,5,1500,27,99.38,26,0.963,11,1,10,8,5,116,-1,0,148.0,98.674,84.081,198.397,464.78,44.795,72.122,53.879,11.939,23.858,56.734,92.015,5.881,3.965,0.318,64.597,3.46,51.376,2.503,20.452,3.2891,1.4932,0.196,0.1322,0.0106,2.1532,0.1153
30,30,156,811.2,6,1500,27,99.72,26,0.963,12,1,10,6,15,99,-1,0,226.9,151.244,141.026,259.38,523.075,45.873,69.266,105.371,19.633,25.737,65.506,91.657,4.607,5.084,0.451,116.636,0.714,105.195,0.176,23.753,5.0415,1.5291,0.1536,0.1695,0.015,3.8879,0.0238
30,30,156,811.2,7,565,27,88.9,27,1.0,2,1,1,6,23,79,565,1,45.0,79.725,63.205,163.266,382.752,61.22,117.495,18.505,7.838,21.587,69.058,129.172,5.095,9.833,0.654,27.082,1.01,18.251,0.254,36.05,2.6575,2.0407,0.1698,0.3278,0.0218,0.9027,0.0337
30,30,156,811.2,8,1500,27,99.27,25,0.926,11,1,9,6,14,68,-1,0,194.5,129.665,116.195,207.618,429.283,49.55,76.984,80.114,12.415,21.507,61.966,92.501,4.582,4.671,0.329,93.9,3.4,77.749,2.366,22.783,4.3222,1.6517,0.1527,0.1557,0.011,3.13,0.1133
30,30,156,811.2,9,930,27,96.11,27,1.0,10,1,8,7,1,69,930,1,115.9,124.646,112.85,210.814,391.027,57.4,86.251,67.246,15.017,21.261,72.417,106.071,4.596,8.337,0.745,79.699,1.188,66.894,0.352,30.081,4.1549,1.9133,0.1532,0.2779,0.0248,2.6566,0.0396
40,40,180,810.0,0,1500,36,99.85,33,0.917,23,2,21,8,3,178,-1,0,194.1,129.386,113.934,245.403,674.314,72.983,125.641,56.404,15.101,28.285,88.084,150.136,5.602,14.436,0.607,70.839,1.078,56.15,0.254,36.825,3.2347,1.8246,0.1401,0.3609,0.0152,1.771,0.0269
