metric,exponent,n_sizes
step_mean_ms,1.4,10
ground_mean_ms,1.412,10
astar_max_mean_ms,0.994,10
explorer_move_ms,1.417,10
relay_move_ms,1.225,10
alloc_ms,1.984,10
role_ms,1.057,10
relay_cover_ms,0.712,10
step_ms_per_robot,0.4,10
ground_ms_per_robot,0.412,10
