n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,0,steps_run,1500
10,10,90,810.0,0,survivors,9
10,10,90,810.0,0,final_cov,83.37
10,10,90,810.0,0,final_found,8
10,10,90,810.0,0,found_frac,0.889
10,10,90,810.0,0,deaths,3
10,10,90,810.0,0,hazard_deaths,0
10,10,90,810.0,0,battery_deaths,3
10,10,90,810.0,0,peak_relays,6
10,10,90,810.0,0,t_first_found,20
10,10,90,810.0,0,t_half_found,110
10,10,90,810.0,0,t_all_found,-1
10,10,90,810.0,0,completed,0
10,10,90,810.0,0,wall_s,67.6
10,10,90,810.0,0,step_mean_ms,45.045
10,10,90,810.0,0,step_p50_ms,48.123
10,10,90,810.0,0,step_p90_ms,57.149
10,10,90,810.0,0,step_max_ms,102.584
10,10,90,810.0,0,ground_mean_ms,12.038
10,10,90,810.0,0,ground_p90_ms,16.843
10,10,90,810.0,0,astar_sum_mean_ms,33.008
10,10,90,810.0,0,astar_max_mean_ms,6.673
10,10,90,810.0,0,astar_max_p90_ms,9.241
10,10,90,810.0,0,dist_mean_ms,18.711
10,10,90,810.0,0,dist_p90_ms,24.445
10,10,90,810.0,0,role_ms,2.178
10,10,90,810.0,0,alloc_ms,0.422
10,10,90,810.0,0,relay_cover_ms,0.06
10,10,90,810.0,0,explorer_move_ms,37.055
10,10,90,810.0,0,relay_move_ms,0.344
10,10,90,810.0,0,astar_explorer_ms,32.988
10,10,90,810.0,0,astar_relay_ms,0.019
10,10,90,810.0,0,other_ms,4.986
10,10,90,810.0,0,step_ms_per_robot,4.5045
10,10,90,810.0,0,ground_ms_per_robot,1.2038
10,10,90,810.0,0,role_ms_per_robot,0.2178
10,10,90,810.0,0,alloc_ms_per_robot,0.0422
10,10,90,810.0,0,relay_cover_ms_per_robot,0.006
10,10,90,810.0,0,explorer_move_ms_per_robot,3.7055
10,10,90,810.0,0,relay_move_ms_per_robot,0.0344
10,10,90,810.0,1,steps_run,1500
10,10,90,810.0,1,survivors,9
10,10,90,810.0,1,final_cov,97.69
10,10,90,810.0,1,final_found,8
10,10,90,810.0,1,found_frac,0.889
10,10,90,810.0,1,deaths,4
10,10,90,810.0,1,hazard_deaths,1
10,10,90,810.0,1,battery_deaths,3
10,10,90,810.0,1,peak_relays,8
10,10,90,810.0,1,t_first_found,1
10,10,90,810.0,1,t_half_found,115
10,10,90,810.0,1,t_all_found,-1
10,10,90,810.0,1,completed,0
10,10,90,810.0,1,wall_s,34.2
10,10,90,810.0,1,step_mean_ms,22.806
10,10,90,810.0,1,step_p50_ms,21.138
10,10,90,810.0,1,step_p90_ms,37.689
10,10,90,810.0,1,step_max_ms,105.752
10,10,90,810.0,1,ground_mean_ms,12.414
10,10,90,810.0,1,ground_p90_ms,17.721
10,10,90,810.0,1,astar_sum_mean_ms,10.392
10,10,90,810.0,1,astar_max_mean_ms,3.751
10,10,90,810.0,1,astar_max_p90_ms,7.269
10,10,90,810.0,1,dist_mean_ms,16.165
10,10,90,810.0,1,dist_p90_ms,23.952
10,10,90,810.0,1,role_ms,3.331
10,10,90,810.0,1,alloc_ms,0.282
10,10,90,810.0,1,relay_cover_ms,0.129
10,10,90,810.0,1,explorer_move_ms,12.796
10,10,90,810.0,1,relay_move_ms,0.285
10,10,90,810.0,1,astar_explorer_ms,10.355
10,10,90,810.0,1,astar_relay_ms,0.037
10,10,90,810.0,1,other_ms,5.983
10,10,90,810.0,1,step_ms_per_robot,2.2806
10,10,90,810.0,1,ground_ms_per_robot,1.2414
10,10,90,810.0,1,role_ms_per_robot,0.3331
10,10,90,810.0,1,alloc_ms_per_robot,0.0282
10,10,90,810.0,1,relay_cover_ms_per_robot,0.0129
10,10,90,810.0,1,explorer_move_ms_per_robot,1.2796
10,10,90,810.0,1,relay_move_ms_per_robot,0.0285
10,10,90,810.0,2,steps_run,1500
10,10,90,810.0,2,survivors,9
10,10,90,810.0,2,final_cov,96.75
10,10,90,810.0,2,final_found,8
10,10,90,810.0,2,found_frac,0.889
10,10,90,810.0,2,deaths,3
10,10,90,810.0,2,hazard_deaths,2
10,10,90,810.0,2,battery_deaths,1
10,10,90,810.0,2,peak_relays,5
10,10,90,810.0,2,t_first_found,26
10,10,90,810.0,2,t_half_found,111
10,10,90,810.0,2,t_all_found,-1
10,10,90,810.0,2,completed,0
10,10,90,810.0,2,wall_s,19.9
10,10,90,810.0,2,step_mean_ms,13.264
10,10,90,810.0,2,step_p50_ms,10.492
10,10,90,810.0,2,step_p90_ms,24.521
10,10,90,810.0,2,step_max_ms,62.871
10,10,90,810.0,2,ground_mean_ms,9.855
10,10,90,810.0,2,ground_p90_ms,14.579
10,10,90,810.0,2,astar_sum_mean_ms,3.409
10,10,90,810.0,2,astar_max_mean_ms,1.919
10,10,90,810.0,2,astar_max_p90_ms,6.687
10,10,90,810.0,2,dist_mean_ms,11.774
10,10,90,810.0,2,dist_p90_ms,19.08
10,10,90,810.0,2,role_ms,1.829
10,10,90,810.0,2,alloc_ms,0.362
10,10,90,810.0,2,relay_cover_ms,0.063
10,10,90,810.0,2,explorer_move_ms,4.348
10,10,90,810.0,2,relay_move_ms,0.564
10,10,90,810.0,2,astar_explorer_ms,3.397
10,10,90,810.0,2,astar_relay_ms,0.012
10,10,90,810.0,2,other_ms,6.098
10,10,90,810.0,2,step_ms_per_robot,1.3264
10,10,90,810.0,2,ground_ms_per_robot,0.9855
10,10,90,810.0,2,role_ms_per_robot,0.1829
10,10,90,810.0,2,alloc_ms_per_robot,0.0362
10,10,90,810.0,2,relay_cover_ms_per_robot,0.0063
10,10,90,810.0,2,explorer_move_ms_per_robot,0.4348
10,10,90,810.0,2,relay_move_ms_per_robot,0.0564
10,10,90,810.0,3,steps_run,732
10,10,90,810.0,3,survivors,9
10,10,90,810.0,3,final_cov,87.37
10,10,90,810.0,3,final_found,9
10,10,90,810.0,3,found_frac,1.0
10,10,90,810.0,3,deaths,1
10,10,90,810.0,3,hazard_deaths,0
10,10,90,810.0,3,battery_deaths,1
10,10,90,810.0,3,peak_relays,5
10,10,90,810.0,3,t_first_found,39
10,10,90,810.0,3,t_half_found,148
10,10,90,810.0,3,t_all_found,732
10,10,90,810.0,3,completed,1
10,10,90,810.0,3,wall_s,17.4
10,10,90,810.0,3,step_mean_ms,23.704
10,10,90,810.0,3,step_p50_ms,21.394
10,10,90,810.0,3,step_p90_ms,42.039
10,10,90,810.0,3,step_max_ms,76.725
10,10,90,810.0,3,ground_mean_ms,13.233
10,10,90,810.0,3,ground_p90_ms,17.33
10,10,90,810.0,3,astar_sum_mean_ms,10.471
10,10,90,810.0,3,astar_max_mean_ms,3.983
10,10,90,810.0,3,astar_max_p90_ms,7.571
10,10,90,810.0,3,dist_mean_ms,17.215
10,10,90,810.0,3,dist_p90_ms,23.451
10,10,90,810.0,3,role_ms,2.516
10,10,90,810.0,3,alloc_ms,0.37
10,10,90,810.0,3,relay_cover_ms,0.19
10,10,90,810.0,3,explorer_move_ms,12.226
10,10,90,810.0,3,relay_move_ms,0.442
10,10,90,810.0,3,astar_explorer_ms,10.411
10,10,90,810.0,3,astar_relay_ms,0.059
10,10,90,810.0,3,other_ms,7.96
10,10,90,810.0,3,step_ms_per_robot,2.3704
10,10,90,810.0,3,ground_ms_per_robot,1.3233
10,10,90,810.0,3,role_ms_per_robot,0.2516
10,10,90,810.0,3,alloc_ms_per_robot,0.037
10,10,90,810.0,3,relay_cover_ms_per_robot,0.019
10,10,90,810.0,3,explorer_move_ms_per_robot,1.2226
10,10,90,810.0,3,relay_move_ms_per_robot,0.0442
10,10,90,810.0,4,steps_run,1197
10,10,90,810.0,4,survivors,9
10,10,90,810.0,4,final_cov,99.53
10,10,90,810.0,4,final_found,9
