n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,11,1500,9,98.51,8,0.889,3,0,2,6,25,262,-1,0,37.1,24.725,25.124,38.957,89.33,11.008,19.527,13.717,4.013,6.517,15.021,24.234,1.882,0.303,0.144,16.938,0.235,13.673,0.043,5.223,2.4725,1.1008,0.1882,0.0303,0.0144,1.6938,0.0235
10,10,90,810.0,12,1500,9,97.73,8,0.889,2,0,2,6,86,210,-1,0,41.1,27.421,27.013,45.964,87.142,8.878,12.715,18.544,4.412,6.989,13.29,17.9,0.992,0.265,0.097,20.082,0.674,18.197,0.347,5.311,2.7421,0.8878,0.0992,0.0265,0.0097,2.0082,0.0674
10,10,90,810.0,13,1500,9,98.75,8,0.889,2,0,0,7,117,230,-1,0,37.2,24.78,22.708,38.474,69.545,11.436,16.713,13.345,4.359,6.693,15.795,21.541,2.571,0.378,0.149,15.615,0.79,13.018,0.326,5.277,2.478,1.1436,0.2571,0.0378,0.0149,1.5615,0.079
10,10,90,810.0,14,1036,9,92.68,9,1.0,2,0,2,6,83,142,1036,1,23.2,22.394,21.163,33.635,57.556,11.573,15.008,10.821,4.089,6.712,15.662,20.806,1.39,0.488,0.156,11.899,1.737,9.64,1.181,6.723,2.2394,1.1573,0.139,0.0488,0.0156,1.1899,0.1737
10,10,90,810.0,15,769,9,98.84,9,1.0,3,0,3,5,34,170,769,1,14.4,18.743,17.323,32.199,129.12,12.209,16.875,6.533,2.925,6.687,15.135,22.245,1.332,0.51,0.181,8.248,0.326,6.475,0.058,8.146,1.8743,1.2209,0.1332,0.051,0.0181,0.8248,0.0326
10,10,90,810.0,16,1500,9,91.15,5,0.556,4,0,4,6,10,383,-1,0,17.1,11.41,10.065,17.525,80.148,8.654,11.597,2.756,1.515,3.701,10.17,14.165,2.701,0.326,0.046,4.177,0.353,2.71,0.045,3.807,1.141,0.8654,0.2701,0.0326,0.0046,0.4177,0.0353
10,10,90,810.0,17,1500,9,94.99,7,0.778,1,1,0,6,15,84,-1,0,20.8,13.878,12.597,20.783,58.244,9.831,13.823,4.047,1.867,2.13,11.698,17.048,2.034,0.421,0.049,6.195,0.616,4.033,0.014,4.563,1.3878,0.9831,0.2034,0.0421,0.0049,0.6195,0.0616
10,10,90,810.0,18,1500,9,96.33,8,0.889,4,0,4,5,58,75,-1,0,56.7,37.817,43.214,61.142,85.172,11.492,15.762,26.326,4.985,6.932,16.477,21.807,1.673,0.333,0.069,28.935,0.237,26.307,0.018,6.571,3.7817,1.1492,0.1673,0.0333,0.0069,2.8935,0.0237
10,10,90,810.0,19,1500,9,99.58,8,0.889,3,0,2,6,72,168,-1,0,31.0,20.69,17.33,45.416,71.92,8.449,14.264,12.241,3.072,6.714,11.521,19.026,0.96,0.287,0.124,14.79,0.223,12.198,0.044,4.306,2.069,0.8449,0.096,0.0287,0.0124,1.479,0.0223
10,10,90,810.0,20,1500,9,98.99,8,0.889,3,1,2,5,3,572,-1,0,32.0,21.297,20.271,34.95,64.427,10.943,15.647,10.354,3.224,6.466,14.167,20.798,2.099,0.533,0.154,12.844,0.25,10.323,0.031,5.417,2.1297,1.0943,0.2099,0.0533,0.0154,1.2844,0.025
10,10,90,810.0,21,449,9,85.83,9,1.0,0,0,0,5,16,185,449,1,8.6,19.096,17.196,28.6,56.767,14.182,19.255,4.914,2.497,5.316,16.679,22.375,3.632,0.557,0.299,6.407,0.479,4.855,0.059,7.722,1.9096,1.4182,0.3632,0.0557,0.0299,0.6407,0.0479
10,10,90,810.0,22,1500,9,97.16,8,0.889,1,1,0,6,8,68,-1,0,44.7,29.775,29.249,39.307,62.219,13.555,17.812,16.22,3.374,4.313,16.929,21.814,3.672,0.308,0.086,19.823,0.339,16.181,0.039,5.548,2.9775,1.3555,0.3672,0.0308,0.0086,1.9823,0.0339
10,10,90,810.0,23,1500,9,99.33,8,0.889,3,0,3,5,36,291,-1,0,30.1,20.081,18.956,31.552,82.697,11.368,16.009,8.713,3.299,6.274,14.666,20.2,1.866,0.374,0.084,11.065,0.871,8.154,0.559,5.82,2.0081,1.1368,0.1866,0.0374,0.0084,1.1065,0.0871
10,10,90,810.0,24,1500,9,97.69,7,0.778,2,0,2,6,18,115,-1,0,49.8,33.195,31.769,51.495,77.223,11.447,15.147,21.748,4.571,6.573,16.018,21.044,2.232,0.346,0.121,24.939,0.297,21.717,0.031,5.259,3.3195,1.1447,0.2232,0.0346,0.0121,2.4939,0.0297
10,10,90,810.0,25,1500,9,83.96,8,0.889,5,1,4,5,3,328,-1,0,36.2,24.162,20.736,35.402,57.545,10.434,15.91,13.728,4.411,6.697,14.845,20.475,1.507,0.257,0.073,15.834,1.745,12.471,1.257,4.746,2.4162,1.0434,0.1507,0.0257,0.0073,1.5834,0.1745
10,10,90,810.0,26,1500,9,97.88,8,0.889,2,0,1,6,23,192,-1,0,20.6,13.751,7.762,30.263,55.137,8.855,14.378,4.896,1.507,5.103,10.363,18.196,2.242,0.455,0.135,7.406,0.142,4.865,0.031,3.371,1.3751,0.8855,0.2242,0.0455,0.0135,0.7406,0.0142
10,10,90,810.0,27,1500,9,96.89,5,0.556,3,1,1,6,85,181,-1,0,38.8,25.838,23.068,42.18,70.951,9.875,14.296,15.963,4.31,6.451,14.185,19.156,1.193,0.376,0.042,18.008,0.628,15.615,0.348,5.593,2.5838,0.9875,0.1193,0.0376,0.0042,1.8008,0.0628
10,10,90,810.0,28,1500,9,96.44,7,0.778,4,0,4,6,31,41,-1,0,28.8,19.17,17.941,29.776,63.989,10.722,16.05,8.448,3.177,6.171,13.9,20.298,1.277,0.437,0.055,10.336,1.262,7.614,0.834,5.804,1.917,1.0722,0.1277,0.0437,0.0055,1.0336,0.1262
10,10,90,810.0,29,762,9,96.69,9,1.0,2,0,2,6,27,144,762,1,17.2,22.528,20.605,33.614,55.622,13.083,16.442,9.445,3.254,6.445,16.336,21.03,1.103,0.526,0.124,11.64,1.434,8.512,0.934,7.701,2.2528,1.3083,0.1103,0.0526,0.0124,1.164,0.1434
10,10,90,810.0,30,1174,9,95.09,9,1.0,4,0,4,4,1,91,1174,1,28.1,23.951,20.443,40.765,89.142,13.526,19.144,10.425,4.036,6.64,17.563,24.728,3.109,0.455,0.059,12.427,0.302,10.374,0.051,7.599,2.3951,1.3526,0.3109,0.0455,0.0059,1.2427,0.0302
10,10,90,810.0,31,1500,9,97.07,4,0.444,3,1,2,6,63,366,-1,0,26.1,17.421,15.336,35.923,83.315,9.183,15.716,8.239,2.606,6.338,11.789,21.193,1.671,0.344,0.061,10.489,0.298,8.13,0.109,4.559,1.7421,0.9183,0.1671,0.0344,0.0061,1.0489,0.0298
10,10,90,810.0,32,805,9,94.93,9,1.0,2,1,1,5,151,224,805,1,15.8,19.574,19.268,34.43,72.07,11.86,17.909,7.714,3.24,6.278,15.1,21.989,1.847,0.554,0.19,9.445,0.334,7.653,0.061,7.203,1.9574,1.186,0.1847,0.0554,0.019,0.9445,0.0334
10,10,90,810.0,33,1022,9,90.21,9,1.0,4,0,4,6,5,94,1022,1,23.3,22.802,20.382,36.389,62.446,12.949,16.117,9.853,3.707,6.406,16.656,21.821,1.966,0.547,0.202,11.927,0.58,9.609,0.244,7.58,2.2802,1.2949,0.1966,0.0547,0.0202,1.1927,0.058
10,10,90,810.0,34,1500,9,96.6,8,0.889,5,3,2,6,1,255,-1,0,21.2,14.138,13.246,24.399,46.989,9.973,14.954,4.165,2.086,5.499,12.06,18.972,1.381,0.402,0.171,5.845,0.35,4.111,0.054,5.99,1.4138,0.9973,0.1381,0.0402,0.0171,0.5845,0.035
10,10,90,810.0,35,1500,9,97.48,7,0.778,3,0,1,6,19,232,-1,0,42.3,28.217,23.769,45.276,70.175,11.82,16.919,16.398,3.667,6.236,15.487,22.393,3.987,0.317,0.108,18.873,0.394,16.245,0.152,4.537,2.8217,1.182,0.3987,0.0317,0.0108,1.8873,0.0394
10,10,90,810.0,36,403,9,78.27,9,1.0,0,0,0,6,5,113,403,1,8.3,20.651,17.942,30.739,55.687,14.865,20.897,5.787,2.294,5.823,17.159,24.113,2.016,0.475,0.255,9.799,0.5,5.702,0.085,7.606,2.0651,1.4865,0.2016,0.0475,0.0255,0.9799,0.05
10,10,90,810.0,37,1500,9,97.79,8,0.889,2,0,1,6,1,129,-1,0,43.6,29.075,29.038,46.062,70.878,9.697,14.359,19.378,5.151,6.507,14.848,19.734,1.407,0.345,0.083,21.364,0.794,18.952,0.426,5.083,2.9075,0.9697,0.1407,0.0345,0.0083,2.1364,0.0794
10,10,90,810.0,38,311,9,68.79,9,1.0,0,0,0,5,1,126,311,1,6.9,22.068,20.163,35.31,63.298,13.824,18.327,8.245,3.114,6.677,16.938,23.363,1.422,0.303,0.295,10.982,1.888,6.976,1.268,7.178,2.2068,1.3824,0.1422,0.0303,0.0295,1.0982,0.1888
10,10,90,810.0,39,1500,9,95.93,8,0.889,4,0,3,6,16,25,-1,0,38.8,25.854,23.491,44.699,78.989,9.614,14.005,16.24,4.663,6.399,14.277,19.436,1.389,0.333,0.085,18.143,0.457,16.02,0.22,5.446,2.5854,0.9614,0.1389,0.0333,0.0085,1.8143,0.0457
10,10,90,810.0,40,1500,9,92.79,7,0.778,2,0,2,6,1,292,-1,0,40.3,26.857,24.546,36.25,65.988,11.193,15.556,15.664,3.471,5.936,14.664,19.759,1.587,0.428,0.107,18.652,1.309,14.779,0.885,4.774,2.6857,1.1193,0.1587,0.0428,0.0107,1.8652,0.1309
20,20,126,793.8,11,761,18,93.92,18,1.0,5,0,5,7,38,88,761,1,35.1,46.173,40.768,76.407,167.052,29.511,39.48,16.662,7.689,13.876,37.2,50.705,2.626,1.913,0.154,16.325,5.754,12.181,4.481,19.402,2.3087,1.4755,0.1313,0.0956,0.0077,0.8162,0.2877
20,20,126,793.8,12,558,18,93.17,18,1.0,0,0,0,6,1,43,558,1,33.7,60.336,50.34,103.574,180.937,35.831,48.41,24.505,7.542,14.297,43.373,60.228,6.429,2.961,0.412,29.536,0.815,24.383,0.122,20.182,3.0168,1.7915,0.3214,0.1481,0.0206,1.4768,0.0408
20,20,126,793.8,13,1500,18,98.35,16,0.889,5,1,2,6,11,82,-1,0,135.4,90.268,85.174,154.788,391.832,30.185,46.857,60.083,11.721,20.058,41.906,65.575,3.071,1.826,0.205,67.012,4.117,56.91,3.173,14.037,4.5134,1.5092,0.1536,0.0913,0.0102,3.3506,0.2058
20,20,126,793.8,14,455,18,85.1,18,1.0,0,0,0,7,5,43,455,1,26.4,58.12,50.074,93.064,182.504,36.692,48.426,21.428,7.277,14.597,43.97,59.078,3.115,2.807,0.582,29.288,0.7,21.288,0.14,21.629,2.906,1.8346,0.1557,0.1403,0.0291,1.4644,0.035
20,20,126,793.8,15,1500,18,99.16,15,0.833,10,0,8,8,8,121,-1,0,124.4,82.921,68.611,142.99,244.856,22.934,35.976,59.987,11.666,15.103,34.601,49.416,3.175,1.58,0.231,64.707,0.908,59.927,0.06,12.32,4.1461,1.1467,0.1588,0.079,0.0115,3.2354,0.0454
20,20,126,793.8,16,754,18,98.9,18,1.0,7,0,7,6,1,83,754,1,40.4,53.551,49.559,84.347,176.136,32.091,45.142,21.46,7.502,13.734,39.594,56.688,3.253,2.311,0.272,24.893,4.318,18.147,3.312,18.505,2.6776,1.6046,0.1626,0.1155,0.0136,1.2446,0.2159
20,20,126,793.8,17,511,18,86.56,18,1.0,0,0,0,8,1,104,511,1,21.6,42.362,35.592,68.298,181.094,32.11,43.367,10.252,4.993,14.168,37.103,52.161,2.916,2.517,0.591,13.901,1.137,10.055,0.196,21.299,2.1181,1.6055,0.1458,0.1259,0.0296,0.695,0.0569
20,20,126,793.8,18,1500,18,99.88,17,0.944,5,0,5,7,3,76,-1,0,63.9,42.606,41.423,73.678,187.402,25.877,47.294,16.729,3.499,11.55,29.376,51.69,2.491,1.236,0.387,27.449,0.663,16.581,0.148,10.379,2.1303,1.2938,0.1245,0.0618,0.0194,1.3725,0.0332
20,20,126,793.8,19,455,18,80.26,18,1.0,0,0,0,7,28,64,455,1,25.0,54.974,49.679,81.064,152.583,38.5,50.218,16.474,6.7,13.011,45.2,60.768,5.642,2.539,0.373,20.55,5.567,12.196,4.278,20.301,2.7487,1.925,0.2821,0.127,0.0187,1.0275,0.2783
