metric,exponent,n_sizes
step_mean_ms,1.407,10
ground_mean_ms,1.437,10
astar_max_mean_ms,1.013,10
explorer_move_ms,1.41,10
relay_move_ms,1.041,10
alloc_ms,2.02,10
role_ms,1.098,10
relay_cover_ms,0.801,10
step_ms_per_robot,0.407,10
ground_ms_per_robot,0.437,10
