n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,13,relay_cover_ms_per_robot,0.0149
10,10,90,810.0,13,explorer_move_ms_per_robot,1.5615
10,10,90,810.0,13,relay_move_ms_per_robot,0.079
10,10,90,810.0,14,steps_run,1036
10,10,90,810.0,14,survivors,9
10,10,90,810.0,14,final_cov,92.68
10,10,90,810.0,14,final_found,9
10,10,90,810.0,14,found_frac,1.0
10,10,90,810.0,14,deaths,2
10,10,90,810.0,14,hazard_deaths,0
10,10,90,810.0,14,battery_deaths,2
10,10,90,810.0,14,peak_relays,6
10,10,90,810.0,14,t_first_found,83
10,10,90,810.0,14,t_half_found,142
10,10,90,810.0,14,t_all_found,1036
10,10,90,810.0,14,completed,1
10,10,90,810.0,14,wall_s,23.2
10,10,90,810.0,14,step_mean_ms,22.394
10,10,90,810.0,14,step_p50_ms,21.163
10,10,90,810.0,14,step_p90_ms,33.635
10,10,90,810.0,14,step_max_ms,57.556
10,10,90,810.0,14,ground_mean_ms,11.573
10,10,90,810.0,14,ground_p90_ms,15.008
10,10,90,810.0,14,astar_sum_mean_ms,10.821
10,10,90,810.0,14,astar_max_mean_ms,4.089
10,10,90,810.0,14,astar_max_p90_ms,6.712
10,10,90,810.0,14,dist_mean_ms,15.662
10,10,90,810.0,14,dist_p90_ms,20.806
10,10,90,810.0,14,role_ms,1.39
10,10,90,810.0,14,alloc_ms,0.488
10,10,90,810.0,14,relay_cover_ms,0.156
10,10,90,810.0,14,explorer_move_ms,11.899
10,10,90,810.0,14,relay_move_ms,1.737
10,10,90,810.0,14,astar_explorer_ms,9.64
10,10,90,810.0,14,astar_relay_ms,1.181
10,10,90,810.0,14,other_ms,6.723
10,10,90,810.0,14,step_ms_per_robot,2.2394
10,10,90,810.0,14,ground_ms_per_robot,1.1573
10,10,90,810.0,14,role_ms_per_robot,0.139
10,10,90,810.0,14,alloc_ms_per_robot,0.0488
10,10,90,810.0,14,relay_cover_ms_per_robot,0.0156
10,10,90,810.0,14,explorer_move_ms_per_robot,1.1899
10,10,90,810.0,14,relay_move_ms_per_robot,0.1737
10,10,90,810.0,15,steps_run,769
10,10,90,810.0,15,survivors,9
10,10,90,810.0,15,final_cov,98.84
10,10,90,810.0,15,final_found,9
10,10,90,810.0,15,found_frac,1.0
10,10,90,810.0,15,deaths,3
10,10,90,810.0,15,hazard_deaths,0
10,10,90,810.0,15,battery_deaths,3
10,10,90,810.0,15,peak_relays,5
10,10,90,810.0,15,t_first_found,34
10,10,90,810.0,15,t_half_found,170
10,10,90,810.0,15,t_all_found,769
10,10,90,810.0,15,completed,1
10,10,90,810.0,15,wall_s,14.4
10,10,90,810.0,15,step_mean_ms,18.743
10,10,90,810.0,15,step_p50_ms,17.323
10,10,90,810.0,15,step_p90_ms,32.199
10,10,90,810.0,15,step_max_ms,129.12
10,10,90,810.0,15,ground_mean_ms,12.209
10,10,90,810.0,15,ground_p90_ms,16.875
10,10,90,810.0,15,astar_sum_mean_ms,6.533
