metric,exponent,n_sizes
step_mean_ms,1.322,10
ground_mean_ms,1.41,10
astar_max_mean_ms,0.951,10
explorer_move_ms,1.28,10
relay_move_ms,0.99,10
alloc_ms,2.0,10
role_ms,1.04,10
relay_cover_ms,0.737,10
step_ms_per_robot,0.322,10
ground_ms_per_robot,0.41,10
