n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,61,steps_run,1500
10,10,90,810.0,61,survivors,9
10,10,90,810.0,61,final_cov,91.85
10,10,90,810.0,61,final_found,6
10,10,90,810.0,61,found_frac,0.667
10,10,90,810.0,61,deaths,2
10,10,90,810.0,61,hazard_deaths,0
10,10,90,810.0,61,battery_deaths,2
10,10,90,810.0,61,peak_relays,6
10,10,90,810.0,61,t_first_found,6
10,10,90,810.0,61,t_half_found,113
10,10,90,810.0,61,t_all_found,-1
10,10,90,810.0,61,completed,0
10,10,90,810.0,61,wall_s,48.2
10,10,90,810.0,61,step_mean_ms,32.098
10,10,90,810.0,61,step_p50_ms,34.398
10,10,90,810.0,61,step_p90_ms,46.496
10,10,90,810.0,61,step_max_ms,61.651
10,10,90,810.0,61,ground_mean_ms,10.808
10,10,90,810.0,61,ground_p90_ms,15.198
10,10,90,810.0,61,astar_sum_mean_ms,21.29
10,10,90,810.0,61,astar_max_mean_ms,4.111
10,10,90,810.0,61,astar_max_p90_ms,5.875
10,10,90,810.0,61,dist_mean_ms,14.919
10,10,90,810.0,61,dist_p90_ms,18.784
10,10,90,810.0,61,role_ms,1.266
10,10,90,810.0,61,alloc_ms,0.333
10,10,90,810.0,61,relay_cover_ms,0.059
10,10,90,810.0,61,explorer_move_ms,24.767
10,10,90,810.0,61,relay_move_ms,0.518
10,10,90,810.0,61,astar_explorer_ms,21.019
10,10,90,810.0,61,astar_relay_ms,0.271
10,10,90,810.0,61,other_ms,5.155
10,10,90,810.0,61,step_ms_per_robot,3.2098
10,10,90,810.0,61,ground_ms_per_robot,1.0808
10,10,90,810.0,61,role_ms_per_robot,0.1266
10,10,90,810.0,61,alloc_ms_per_robot,0.0333
10,10,90,810.0,61,relay_cover_ms_per_robot,0.0059
10,10,90,810.0,61,explorer_move_ms_per_robot,2.4767
10,10,90,810.0,61,relay_move_ms_per_robot,0.0518
10,10,90,810.0,62,steps_run,421
10,10,90,810.0,62,survivors,9
10,10,90,810.0,62,final_cov,94.06
10,10,90,810.0,62,final_found,9
10,10,90,810.0,62,found_frac,1.0
10,10,90,810.0,62,deaths,0
10,10,90,810.0,62,hazard_deaths,0
10,10,90,810.0,62,battery_deaths,0
10,10,90,810.0,62,peak_relays,6
10,10,90,810.0,62,t_first_found,86
10,10,90,810.0,62,t_half_found,139
10,10,90,810.0,62,t_all_found,421
10,10,90,810.0,62,completed,1
10,10,90,810.0,62,wall_s,8.2
10,10,90,810.0,62,step_mean_ms,19.58
10,10,90,810.0,62,step_p50_ms,16.15
10,10,90,810.0,62,step_p90_ms,32.01
10,10,90,810.0,62,step_max_ms,61.249
10,10,90,810.0,62,ground_mean_ms,13.214
10,10,90,810.0,62,ground_p90_ms,16.268
10,10,90,810.0,62,astar_sum_mean_ms,6.366
10,10,90,810.0,62,astar_max_mean_ms,2.896
10,10,90,810.0,62,astar_max_p90_ms,6.232
10,10,90,810.0,62,dist_mean_ms,16.11
10,10,90,810.0,62,dist_p90_ms,21.861
10,10,90,810.0,62,role_ms,2.642
10,10,90,810.0,62,alloc_ms,0.401
10,10,90,810.0,62,relay_cover_ms,0.257
10,10,90,810.0,62,explorer_move_ms,8.113
10,10,90,810.0,62,relay_move_ms,0.449
10,10,90,810.0,62,astar_explorer_ms,6.321
10,10,90,810.0,62,astar_relay_ms,0.044
10,10,90,810.0,62,other_ms,7.717
10,10,90,810.0,62,step_ms_per_robot,1.958
10,10,90,810.0,62,ground_ms_per_robot,1.3214
10,10,90,810.0,62,role_ms_per_robot,0.2642
10,10,90,810.0,62,alloc_ms_per_robot,0.0401
10,10,90,810.0,62,relay_cover_ms_per_robot,0.0257
10,10,90,810.0,62,explorer_move_ms_per_robot,0.8113
10,10,90,810.0,62,relay_move_ms_per_robot,0.0449
10,10,90,810.0,63,steps_run,289
10,10,90,810.0,63,survivors,9
10,10,90,810.0,63,final_cov,76.69
10,10,90,810.0,63,final_found,9
10,10,90,810.0,63,found_frac,1.0
10,10,90,810.0,63,deaths,0
10,10,90,810.0,63,hazard_deaths,0
10,10,90,810.0,63,battery_deaths,0
10,10,90,810.0,63,peak_relays,5
10,10,90,810.0,63,t_first_found,39
10,10,90,810.0,63,t_half_found,73
10,10,90,810.0,63,t_all_found,289
10,10,90,810.0,63,completed,1
10,10,90,810.0,63,wall_s,5.5
10,10,90,810.0,63,step_mean_ms,19.134
10,10,90,810.0,63,step_p50_ms,18.072
10,10,90,810.0,63,step_p90_ms,25.342
10,10,90,810.0,63,step_max_ms,43.831
10,10,90,810.0,63,ground_mean_ms,13.845
10,10,90,810.0,63,ground_p90_ms,16.057
10,10,90,810.0,63,astar_sum_mean_ms,5.289
10,10,90,810.0,63,astar_max_mean_ms,1.92
10,10,90,810.0,63,astar_max_p90_ms,2.208
10,10,90,810.0,63,dist_mean_ms,15.766
10,10,90,810.0,63,dist_p90_ms,19.402
10,10,90,810.0,63,role_ms,1.606
10,10,90,810.0,63,alloc_ms,0.434
10,10,90,810.0,63,relay_cover_ms,0.237
10,10,90,810.0,63,explorer_move_ms,9.222
10,10,90,810.0,63,relay_move_ms,0.412
10,10,90,810.0,63,astar_explorer_ms,5.251
10,10,90,810.0,63,astar_relay_ms,0.038
10,10,90,810.0,63,other_ms,7.223
10,10,90,810.0,63,step_ms_per_robot,1.9134
10,10,90,810.0,63,ground_ms_per_robot,1.3845
10,10,90,810.0,63,role_ms_per_robot,0.1606
10,10,90,810.0,63,alloc_ms_per_robot,0.0434
10,10,90,810.0,63,relay_cover_ms_per_robot,0.0237
10,10,90,810.0,63,explorer_move_ms_per_robot,0.9222
10,10,90,810.0,63,relay_move_ms_per_robot,0.0412
