n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
20,20,126,793.8,74,742,18,93.25,18,1.0,3,0,3,7,13,82,742,1,79.4,106.969,108.5,165.976,232.734,33.134,43.446,73.835,10.514,13.263,43.649,56.047,2.782,1.952,0.213,83.072,2.315,72.599,1.236,16.635,5.3485,1.6567,0.1391,0.0976,0.0107,4.1536,0.1158
20,20,126,793.8,75,341,18,75.49,18,1.0,0,0,0,6,1,71,341,1,15.2,44.424,40.066,64.857,127.972,33.861,44.141,10.563,4.318,12.113,38.179,50.438,3.145,2.844,0.644,17.907,0.913,10.397,0.166,18.972,2.2212,1.6931,0.1573,0.1422,0.0322,0.8954,0.0456
20,20,126,793.8,76,467,18,98.28,18,1.0,0,0,0,6,1,63,467,1,20.6,44.081,36.961,77.497,154.791,31.096,39.871,12.985,3.788,11.634,34.884,45.685,3.611,2.359,0.227,20.16,0.645,12.915,0.07,17.079,2.2041,1.5548,0.1806,0.118,0.0113,1.008,0.0322
20,20,126,793.8,77,456,18,88.83,18,1.0,0,0,0,6,16,65,456,1,27.3,59.839,52.95,99.559,155.624,31.957,39.669,27.882,9.025,13.348,40.982,51.525,3.359,2.669,0.622,32.227,0.974,27.717,0.166,19.988,2.992,1.5978,0.1679,0.1335,0.0311,1.6114,0.0487
20,20,126,793.8,78,784,18,98.1,18,1.0,6,0,6,6,10,58,784,1,38.5,49.115,47.793,84.448,129.684,24.656,34.803,24.459,7.173,12.211,31.829,46.108,2.46,1.937,0.404,28.913,0.781,24.328,0.131,14.62,2.4558,1.2328,0.123,0.0969,0.0202,1.4456,0.0391
20,20,126,793.8,79,1500,18,98.99,15,0.833,6,0,6,6,6,64,-1,0,156.7,104.459,109.594,132.386,204.033,25.036,39.453,79.423,10.562,12.358,35.598,49.418,5.386,1.179,0.153,87.256,0.355,79.376,0.047,10.131,5.223,1.2518,0.2693,0.059,0.0077,4.3628,0.0177
20,20,126,793.8,80,771,18,99.16,18,1.0,6,0,6,7,2,95,771,1,56.0,72.663,72.581,110.728,171.431,26.944,37.028,45.719,10.033,12.513,36.977,49.072,2.059,1.953,0.379,48.71,3.287,43.385,2.334,16.276,3.6332,1.3472,0.1029,0.0977,0.0189,2.4355,0.1643
30,30,156,811.2,61,1009,27,98.96,27,1.0,11,0,11,6,12,138,1009,1,76.5,75.846,69.828,129.701,336.754,45.706,76.905,30.139,8.504,19.157,54.21,88.006,2.834,5.937,0.496,43.161,0.914,30.019,0.12,22.504,2.5282,1.5235,0.0945,0.1979,0.0165,1.4387,0.0305
30,30,156,811.2,62,911,27,98.95,27,1.0,8,0,8,7,1,131,911,1,94.8,104.036,86.665,183.089,348.672,50.729,83.101,53.307,8.83,18.571,59.559,94.452,3.059,7.12,0.597,69.712,1.602,53.0,0.308,21.946,3.4679,1.691,0.102,0.2373,0.0199,2.3237,0.0534
30,30,156,811.2,63,738,27,97.99,27,1.0,9,0,9,7,2,102,738,1,82.9,112.384,92.148,190.158,387.487,51.487,75.274,60.898,13.234,18.96,64.72,93.982,3.13,7.479,0.31,60.254,13.396,49.808,11.09,27.815,3.7461,1.7162,0.1043,0.2493,0.0103,2.0085,0.4465
30,30,156,811.2,64,579,27,97.0,27,1.0,9,0,9,6,1,64,579,1,53.4,92.303,82.944,154.193,309.302,51.276,67.634,41.027,13.884,19.46,65.16,86.378,3.548,6.77,0.276,42.089,8.714,34.14,6.887,30.906,3.0768,1.7092,0.1183,0.2257,0.0092,1.403,0.2905
30,30,156,811.2,65,365,27,85.88,27,1.0,0,0,0,6,12,83,365,1,31.0,85.038,67.77,166.645,349.578,64.104,130.304,20.933,7.512,19.447,71.617,137.478,4.088,13.296,0.537,32.749,1.419,20.682,0.251,32.949,2.8346,2.1368,0.1363,0.4432,0.0179,1.0916,0.0473
30,30,156,811.2,66,570,27,90.84,27,1.0,7,0,7,6,8,106,570,1,43.9,76.98,61.087,153.353,281.436,58.003,114.794,18.977,6.581,18.815,64.584,124.666,3.757,10.718,0.611,29.505,0.898,18.808,0.169,31.492,2.566,1.9334,0.1252,0.3573,0.0204,0.9835,0.0299
30,30,156,811.2,67,927,27,99.65,27,1.0,10,0,10,7,1,73,927,1,127.0,137.043,156.902,238.84,366.221,45.661,63.59,91.382,10.951,18.471,56.612,77.308,5.798,4.862,0.46,102.316,0.855,91.236,0.146,22.752,4.5681,1.522,0.1933,0.1621,0.0153,3.4105,0.0285
30,30,156,811.2,68,301,27,83.13,27,1.0,0,0,0,7,1,63,301,1,23.9,79.551,67.326,130.195,296.116,59.001,97.001,20.55,7.751,20.405,66.752,102.225,5.246,6.484,0.702,32.793,1.039,20.399,0.151,33.288,2.6517,1.9667,0.1749,0.2161,0.0234,1.0931,0.0346
30,30,156,811.2,69,637,27,99.8,27,1.0,9,0,9,6,27,96,637,1,46.4,72.768,52.554,160.561,359.782,44.312,64.348,28.456,6.409,19.012,50.721,71.813,2.846,5.949,0.538,36.116,0.989,28.258,0.198,26.33,2.4256,1.4771,0.0949,0.1983,0.0179,1.2039,0.033
30,30,156,811.2,70,1500,27,99.5,23,0.852,11,0,11,6,1,107,-1,0,66.7,44.473,29.812,102.859,281.473,32.504,55.701,11.969,4.235,19.006,36.738,68.118,3.387,2.511,0.155,22.157,0.868,11.923,0.046,15.395,1.4824,1.0835,0.1129,0.0837,0.0052,0.7386,0.0289
30,30,156,811.2,71,1500,27,99.52,24,0.889,10,0,10,7,30,163,-1,0,173.0,115.306,108.388,208.669,462.826,40.434,68.885,74.872,12.21,19.186,52.644,83.312,4.024,3.97,0.338,88.508,0.661,74.74,0.132,17.805,3.8435,1.3478,0.1341,0.1323,0.0113,2.9503,0.022
30,30,156,811.2,72,593,27,99.21,27,1.0,4,0,4,7,12,82,593,1,96.3,162.306,168.201,285.166,371.676,51.704,67.757,110.602,16.68,20.913,68.384,87.405,3.957,6.537,0.226,119.13,3.168,108.361,2.241,29.287,5.4102,1.7235,0.1319,0.2179,0.0075,3.971,0.1056
30,30,156,811.2,73,1027,27,99.96,27,1.0,9,0,9,6,1,108,1027,1,85.5,83.283,62.518,170.653,364.308,37.286,60.602,45.997,11.149,19.436,48.435,73.174,4.206,3.482,0.313,55.419,1.043,45.863,0.134,18.819,2.7761,1.2429,0.1402,0.1161,0.0104,1.8473,0.0348
30,30,156,811.2,74,1500,27,99.91,26,0.963,8,0,8,7,1,71,-1,0,237.4,158.247,126.677,333.326,512.351,36.991,60.522,121.256,13.959,19.439,50.95,78.642,2.188,3.256,0.32,134.477,0.531,121.186,0.07,17.474,5.2749,1.233,0.0729,0.1085,0.0107,4.4826,0.0177
30,30,156,811.2,75,517,27,93.68,27,1.0,5,0,5,7,7,113,517,1,39.3,76.039,61.379,135.811,388.837,58.051,102.387,17.987,6.068,18.898,64.119,110.182,4.952,8.155,0.573,29.136,1.25,17.785,0.202,31.972,2.5346,1.935,0.1651,0.2718,0.0191,0.9712,0.0417
30,30,156,811.2,76,1098,27,99.84,27,1.0,13,0,13,6,4,109,1098,1,115.1,104.864,95.799,190.782,331.739,42.786,64.968,62.078,13.602,19.649,56.388,83.548,5.422,5.706,0.478,69.936,1.003,61.849,0.229,22.318,3.4955,1.4262,0.1807,0.1902,0.0159,2.3312,0.0334
30,30,156,811.2,77,566,27,96.43,27,1.0,7,0,7,6,4,53,566,1,60.9,107.652,100.078,161.52,320.313,52.318,70.751,55.333,12.848,19.968,65.167,87.562,4.908,5.313,0.264,64.941,5.372,51.493,3.84,26.854,3.5884,1.7439,0.1636,0.1771,0.0088,2.1647,0.1791
30,30,156,811.2,78,521,27,94.39,27,1.0,6,0,6,7,2,77,521,1,54.2,104.042,92.235,168.979,267.43,56.463,81.777,47.578,13.783,19.182,70.247,94.291,3.62,8.238,0.225,50.689,10.98,39.008,8.57,30.289,3.4681,1.8821,0.1207,0.2746,0.0075,1.6896,0.366
30,30,156,811.2,79,264,27,72.97,27,1.0,0,0,0,6,6,67,264,1,25.8,97.588,87.164,137.108,367.645,67.202,91.969,30.386,7.659,19.09,74.861,104.614,4.429,8.163,0.468,47.979,7.924,24.729,5.658,28.624,3.2529,2.2401,0.1476,0.2721,0.0156,1.5993,0.2641
30,30,156,811.2,80,1500,27,99.97,26,0.963,9,0,9,7,2,72,-1,0,120.7,80.488,70.376,181.58,311.396,35.281,65.397,45.207,8.84,19.463,44.121,77.716,2.017,2.828,0.262,60.061,0.603,45.108,0.099,14.718,2.6829,1.176,0.0672,0.0943,0.0087,2.002,0.0201
40,40,180,810.0,61,663,36,94.16,36,1.0,11,0,11,7,17,96,663,1,83.3,125.701,103.503,227.807,462.578,84.332,148.098,41.369,9.037,25.118,93.368,158.114,5.059,14.981,0.739,61.902,1.913,41.147,0.222,41.106,3.1425,2.1083,0.1265,0.3745,0.0185,1.5475,0.0478
40,40,180,810.0,62,435,36,93.77,36,1.0,2,0,2,8,10,109,435,1,48.2,110.857,84.608,263.263,538.57,84.903,182.588,25.954,10.067,26.344,94.97,199.694,6.17,19.807,0.989,36.59,2.105,25.629,0.326,45.196,2.7714,2.1226,0.1543,0.4952,0.0247,0.9148,0.0526
40,40,180,810.0,63,1500,36,98.67,32,0.889,14,0,14,7,1,92,-1,0,325.5,216.993,228.43,267.52,533.392,55.845,86.317,161.148,16.3,25.627,72.145,103.556,5.398,4.844,0.057,179.203,4.694,157.233,3.915,22.797,5.4248,1.3961,0.1349,0.1211,0.0014,4.4801,0.1174
40,40,180,810.0,64,1500,36,99.78,34,0.944,13,0,13,6,1,222,-1,0,329.0,219.3,229.267,276.954,578.964,53.801,85.065,165.499,20.794,24.826,74.595,102.52,5.693,4.875,0.265,181.106,3.182,162.986,2.513,24.178,5.4825,1.345,0.1423,0.1219,0.0066,4.5277,0.0796
40,40,180,810.0,65,724,36,99.87,36,1.0,13,0,13,7,1,82,724,1,144.6,199.74,123.166,474.67,682.29,68.084,96.386,131.657,16.838,26.83,84.922,115.072,4.709,8.718,0.395,137.142,8.667,124.848,6.809,40.109,4.9935,1.7021,0.1177,0.2179,0.0099,3.4286,0.2167
40,40,180,810.0,66,277,36,84.61,36,1.0,0,0,0,7,1,64,277,1,36.0,129.983,103.424,285.565,493.537,91.479,214.679,38.505,13.229,24.693,104.707,232.564,6.493,23.985,0.576,35.218,20.487,23.192,15.312,43.225,3.2496,2.287,0.1623,0.5996,0.0144,0.8805,0.5122
40,40,180,810.0,67,449,36,96.34,36,1.0,4,0,4,6,1,75,449,1,48.7,108.506,81.897,239.525,600.345,81.42,139.217,27.086,8.097,25.719,89.517,160.829,6.263,12.741,0.782,38.713,2.073,26.779,0.307,47.935,2.7127,2.0355,0.1566,0.3185,0.0195,0.9678,0.0518
40,40,180,810.0,68,1500,36,99.96,33,0.917,22,0,22,7,20,195,-1,0,110.2,73.493,62.012,130.707,496.013,50.257,88.431,23.236,8.833,25.84,59.089,94.339,4.353,6.319,0.467,35.659,1.441,22.998,0.238,25.253,1.8373,1.2564,0.1088,0.158,0.0117,0.8915,0.036
40,40,180,810.0,69,1500,36,99.93,35,0.972,15,0,15,6,1,73,-1,0,362.8,241.879,195.886,463.65,541.241,52.559,84.992,189.32,18.427,26.762,70.986,99.41,4.461,5.574,0.238,207.877,0.819,189.188,0.132,22.911,6.047,1.314,0.1115,0.1393,0.0059,5.1969,0.0205
40,40,180,810.0,70,1500,36,99.93,34,0.944,24,0,24,7,2,156,-1,0,116.4,77.608,62.284,138.837,500.127,49.79,85.731,27.817,9.822,25.328,59.612,95.683,3.714,7.557,0.476,38.774,0.943,27.599,0.218,26.144,1.9402,1.2448,0.0929,0.1889,0.0119,0.9694,0.0236
40,40,180,810.0,71,1500,36,99.98,35,0.972,23,0,23,7,14,92,-1,0,99.5,66.354,45.071,122.789,492.793,52.556,90.682,13.798,4.671,22.952,57.227,99.577,4.472,9.331,0.539,26.705,1.127,13.605,0.193,24.181,1.6589,1.3139,0.1118,0.2333,0.0135,0.6676,0.0282
40,40,180,810.0,72,682,36,99.72,36,1.0,12,0,12,7,4,79,682,1,117.6,172.47,104.359,387.101,578.364,69.444,95.711,103.026,14.44,25.821,83.884,111.863,5.612,9.394,0.592,115.504,1.122,102.814,0.213,40.246,4.3118,1.7361,0.1403,0.2349,0.0148,2.8876,0.0281
40,40,180,810.0,73,524,36,96.52,36,1.0,7,0,7,6,1,73,524,1,78.6,150.067,118.935,269.168,529.553,85.454,140.306,64.613,17.353,27.594,102.807,168.519,8.168,13.436,0.593,77.846,1.485,64.382,0.231,48.539,3.7517,2.1363,0.2042,0.3359,0.0148,1.9462,0.0371
40,40,180,810.0,74,465,36,98.44,36,1.0,1,0,1,8,1,83,465,1,78.5,168.79,121.984,334.887,607.034,75.857,98.87,92.932,18.018,26.376,93.875,124.727,7.279,9.329,0.688,104.136,2.031,92.574,0.358,45.327,4.2197,1.8964,0.182,0.2332,0.0172,2.6034,0.0508
40,40,180,810.0,75,446,36,98.12,36,1.0,1,0,1,6,9,110,446,1,60.9,136.536,108.325,262.069,538.003,81.698,138.197,54.838,16.804,27.221,98.502,157.073,5.718,13.884,0.588,67.517,1.508,54.592,0.246,47.321,3.4134,2.0424,0.1429,0.3471,0.0147,1.6879,0.0377
40,40,180,810.0,76,444,36,95.43,36,1.0,0,0,0,6,3,88,444,1,57.4,129.226,103.594,250.215,614.65,94.402,190.201,34.824,12.977,24.424,107.379,201.84,5.309,21.572,0.507,38.776,14.641,22.478,12.347,48.422,3.2307,2.3601,0.1327,0.5393,0.0127,0.9694,0.366
