n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,81,steps_run,1500
10,10,90,810.0,81,survivors,9
10,10,90,810.0,81,final_cov,95.86
10,10,90,810.0,81,final_found,7
10,10,90,810.0,81,found_frac,0.778
10,10,90,810.0,81,deaths,3
10,10,90,810.0,81,hazard_deaths,0
10,10,90,810.0,81,battery_deaths,3
10,10,90,810.0,81,peak_relays,6
10,10,90,810.0,81,t_first_found,9
10,10,90,810.0,81,t_half_found,238
10,10,90,810.0,81,t_all_found,-1
10,10,90,810.0,81,completed,0
10,10,90,810.0,81,wall_s,39.2
10,10,90,810.0,81,step_mean_ms,26.158
10,10,90,810.0,81,step_p50_ms,27.349
10,10,90,810.0,81,step_p90_ms,37.369
10,10,90,810.0,81,step_max_ms,70.0
10,10,90,810.0,81,ground_mean_ms,9.531
10,10,90,810.0,81,ground_p90_ms,14.205
10,10,90,810.0,81,astar_sum_mean_ms,16.627
10,10,90,810.0,81,astar_max_mean_ms,3.636
10,10,90,810.0,81,astar_max_p90_ms,5.851
10,10,90,810.0,81,dist_mean_ms,13.166
10,10,90,810.0,81,dist_p90_ms,18.94
10,10,90,810.0,81,role_ms,0.984
10,10,90,810.0,81,alloc_ms,0.346
10,10,90,810.0,81,relay_cover_ms,0.072
10,10,90,810.0,81,explorer_move_ms,19.284
10,10,90,810.0,81,relay_move_ms,0.199
10,10,90,810.0,81,astar_explorer_ms,16.614
10,10,90,810.0,81,astar_relay_ms,0.013
10,10,90,810.0,81,other_ms,5.272
10,10,90,810.0,81,step_ms_per_robot,2.6158
10,10,90,810.0,81,ground_ms_per_robot,0.9531
10,10,90,810.0,81,role_ms_per_robot,0.0984
10,10,90,810.0,81,alloc_ms_per_robot,0.0346
10,10,90,810.0,81,relay_cover_ms_per_robot,0.0072
10,10,90,810.0,81,explorer_move_ms_per_robot,1.9284
10,10,90,810.0,81,relay_move_ms_per_robot,0.0199
10,10,90,810.0,82,steps_run,459
10,10,90,810.0,82,survivors,9
10,10,90,810.0,82,final_cov,77.2
10,10,90,810.0,82,final_found,9
10,10,90,810.0,82,found_frac,1.0
10,10,90,810.0,82,deaths,1
10,10,90,810.0,82,hazard_deaths,1
10,10,90,810.0,82,battery_deaths,0
10,10,90,810.0,82,peak_relays,3
10,10,90,810.0,82,t_first_found,41
10,10,90,810.0,82,t_half_found,76
10,10,90,810.0,82,t_all_found,459
10,10,90,810.0,82,completed,1
10,10,90,810.0,82,wall_s,6.6
10,10,90,810.0,82,step_mean_ms,14.393
10,10,90,810.0,82,step_p50_ms,13.243
10,10,90,810.0,82,step_p90_ms,19.27
10,10,90,810.0,82,step_max_ms,40.71
10,10,90,810.0,82,ground_mean_ms,12.693
10,10,90,810.0,82,ground_p90_ms,14.504
10,10,90,810.0,82,astar_sum_mean_ms,1.7
10,10,90,810.0,82,astar_max_mean_ms,1.189
10,10,90,810.0,82,astar_max_p90_ms,3.485
10,10,90,810.0,82,dist_mean_ms,13.883
10,10,90,810.0,82,dist_p90_ms,17.955
10,10,90,810.0,82,role_ms,2.618
10,10,90,810.0,82,alloc_ms,0.331
10,10,90,810.0,82,relay_cover_ms,0.093
10,10,90,810.0,82,explorer_move_ms,2.835
10,10,90,810.0,82,relay_move_ms,0.221
10,10,90,810.0,82,astar_explorer_ms,1.684
10,10,90,810.0,82,astar_relay_ms,0.016
10,10,90,810.0,82,other_ms,8.296
10,10,90,810.0,82,step_ms_per_robot,1.4393
10,10,90,810.0,82,ground_ms_per_robot,1.2693
10,10,90,810.0,82,role_ms_per_robot,0.2618
10,10,90,810.0,82,alloc_ms_per_robot,0.0331
10,10,90,810.0,82,relay_cover_ms_per_robot,0.0093
10,10,90,810.0,82,explorer_move_ms_per_robot,0.2835
10,10,90,810.0,82,relay_move_ms_per_robot,0.0221
10,10,90,810.0,83,steps_run,519
10,10,90,810.0,83,survivors,9
10,10,90,810.0,83,final_cov,76.84
10,10,90,810.0,83,final_found,9
10,10,90,810.0,83,found_frac,1.0
10,10,90,810.0,83,deaths,1
10,10,90,810.0,83,hazard_deaths,1
10,10,90,810.0,83,battery_deaths,0
10,10,90,810.0,83,peak_relays,6
10,10,90,810.0,83,t_first_found,17
10,10,90,810.0,83,t_half_found,238
10,10,90,810.0,83,t_all_found,519
10,10,90,810.0,83,completed,1
10,10,90,810.0,83,wall_s,7.3
10,10,90,810.0,83,step_mean_ms,14.047
10,10,90,810.0,83,step_p50_ms,13.454
10,10,90,810.0,83,step_p90_ms,19.812
10,10,90,810.0,83,step_max_ms,41.557
10,10,90,810.0,83,ground_mean_ms,10.588
10,10,90,810.0,83,ground_p90_ms,13.587
10,10,90,810.0,83,astar_sum_mean_ms,3.459
10,10,90,810.0,83,astar_max_mean_ms,1.469
10,10,90,810.0,83,astar_max_p90_ms,3.475
10,10,90,810.0,83,dist_mean_ms,12.058
10,10,90,810.0,83,dist_p90_ms,15.246
10,10,90,810.0,83,role_ms,1.741
10,10,90,810.0,83,alloc_ms,0.311
10,10,90,810.0,83,relay_cover_ms,0.07
10,10,90,810.0,83,explorer_move_ms,5.899
10,10,90,810.0,83,relay_move_ms,0.384
10,10,90,810.0,83,astar_explorer_ms,3.435
10,10,90,810.0,83,astar_relay_ms,0.023
10,10,90,810.0,83,other_ms,5.642
10,10,90,810.0,83,step_ms_per_robot,1.4047
10,10,90,810.0,83,ground_ms_per_robot,1.0588
10,10,90,810.0,83,role_ms_per_robot,0.1741
10,10,90,810.0,83,alloc_ms_per_robot,0.0311
10,10,90,810.0,83,relay_cover_ms_per_robot,0.007
10,10,90,810.0,83,explorer_move_ms_per_robot,0.5899
10,10,90,810.0,83,relay_move_ms_per_robot,0.0384
10,10,90,810.0,84,steps_run,1166
10,10,90,810.0,84,survivors,9
10,10,90,810.0,84,final_cov,97.59
10,10,90,810.0,84,final_found,9
10,10,90,810.0,84,found_frac,1.0
10,10,90,810.0,84,deaths,3
10,10,90,810.0,84,hazard_deaths,1
10,10,90,810.0,84,battery_deaths,2
10,10,90,810.0,84,peak_relays,6
10,10,90,810.0,84,t_first_found,7
10,10,90,810.0,84,t_half_found,221
10,10,90,810.0,84,t_all_found,1166
10,10,90,810.0,84,completed,1
10,10,90,810.0,84,wall_s,30.0
10,10,90,810.0,84,step_mean_ms,25.714
10,10,90,810.0,84,step_p50_ms,27.494
10,10,90,810.0,84,step_p90_ms,40.09
10,10,90,810.0,84,step_max_ms,61.365
10,10,90,810.0,84,ground_mean_ms,9.689
10,10,90,810.0,84,ground_p90_ms,12.735
10,10,90,810.0,84,astar_sum_mean_ms,16.025
10,10,90,810.0,84,astar_max_mean_ms,4.462
