n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,81,1500,9,95.86,7,0.778,3,0,3,6,9,238,-1,0,39.2,26.158,27.349,37.369,70.0,9.531,14.205,16.627,3.636,5.851,13.166,18.94,0.984,0.346,0.072,19.284,0.199,16.614,0.013,5.272,2.6158,0.9531,0.0984,0.0346,0.0072,1.9284,0.0199
10,10,90,810.0,82,459,9,77.2,9,1.0,1,1,0,3,41,76,459,1,6.6,14.393,13.243,19.27,40.71,12.693,14.504,1.7,1.189,3.485,13.883,17.955,2.618,0.331,0.093,2.835,0.221,1.684,0.016,8.296,1.4393,1.2693,0.2618,0.0331,0.0093,0.2835,0.0221
10,10,90,810.0,83,519,9,76.84,9,1.0,1,1,0,6,17,238,519,1,7.3,14.047,13.454,19.812,41.557,10.588,13.587,3.459,1.469,3.475,12.058,15.246,1.741,0.311,0.07,5.899,0.384,3.435,0.023,5.642,1.4047,1.0588,0.1741,0.0311,0.007,0.5899,0.0384
10,10,90,810.0,84,1166,9,97.59,9,1.0,3,1,2,6,7,221,1166,1,30.0,25.714,27.494,40.09,61.365,9.689,12.735,16.025,4.462,6.508,14.151,18.181,1.468,0.327,0.152,17.888,0.23,15.991,0.034,5.649,2.5714,0.9689,0.1468,0.0327,0.0152,1.7888,0.023
10,10,90,810.0,85,1500,9,96.11,7,0.778,4,1,2,6,13,148,-1,0,21.9,14.625,13.098,27.56,58.643,8.834,12.511,5.791,2.072,5.723,10.907,16.39,1.161,0.391,0.05,7.9,0.273,5.686,0.105,4.85,1.4625,0.8834,0.1161,0.0391,0.005,0.79,0.0273
10,10,90,810.0,86,1500,9,97.65,8,0.889,5,1,4,5,2,313,-1,0,44.2,29.49,31.676,50.776,71.718,10.078,14.499,19.413,4.609,6.277,14.687,20.484,1.104,0.377,0.067,22.046,0.23,19.402,0.011,5.666,2.949,1.0078,0.1104,0.0377,0.0067,2.2046,0.023
10,10,90,810.0,87,639,9,89.48,9,1.0,1,0,1,4,21,161,639,1,19.2,30.061,24.773,54.656,71.231,11.264,14.542,18.797,4.302,6.222,15.566,20.353,1.092,0.596,0.138,20.813,0.46,18.764,0.032,6.962,3.0061,1.1264,0.1092,0.0596,0.0138,2.0813,0.046
10,10,90,810.0,88,1500,9,96.15,8,0.889,2,0,2,5,5,239,-1,0,20.1,13.382,13.26,20.271,51.304,8.888,11.966,4.494,2.442,5.784,11.33,15.966,1.488,0.363,0.047,5.762,0.563,4.483,0.011,5.16,1.3382,0.8888,0.1488,0.0363,0.0047,0.5762,0.0563
10,10,90,810.0,89,1500,9,97.0,5,0.556,3,0,3,4,105,142,-1,0,44.5,29.68,31.712,41.722,74.922,11.993,15.493,17.687,4.971,6.242,16.964,21.386,4.283,0.276,0.029,19.317,0.297,17.678,0.009,5.477,2.968,1.1993,0.4283,0.0276,0.0029,1.9317,0.0297
10,10,90,810.0,90,1500,9,90.94,8,0.889,2,2,0,5,35,63,-1,0,33.3,22.184,20.829,30.952,49.959,12.155,15.752,10.029,2.073,5.675,14.229,18.464,2.084,0.359,0.032,15.032,0.167,10.018,0.01,4.511,2.2184,1.2155,0.2084,0.0359,0.0032,1.5032,0.0167
10,10,90,810.0,91,1500,9,95.8,4,0.444,3,1,2,5,2,364,-1,0,32.3,21.56,20.608,34.69,51.573,10.151,14.825,11.408,3.944,6.175,14.095,18.719,1.565,0.314,0.068,13.988,0.202,11.381,0.028,5.422,2.156,1.0151,0.1565,0.0314,0.0068,1.3988,0.0202
10,10,90,810.0,92,554,9,83.8,9,1.0,1,0,1,6,51,166,554,1,10.9,19.622,18.732,27.334,54.705,13.909,17.032,5.713,2.448,6.532,16.357,20.128,3.247,0.423,0.327,8.252,0.553,5.617,0.096,6.821,1.9622,1.3909,0.3247,0.0423,0.0327,0.8252,0.0553
