metric,exponent,n_sizes
step_mean_ms,1.372,10
ground_mean_ms,1.404,10
astar_max_mean_ms,0.997,10
explorer_move_ms,1.362,10
relay_move_ms,0.925,10
alloc_ms,1.983,10
role_ms,1.087,10
relay_cover_ms,0.781,10
step_ms_per_robot,0.372,10
ground_ms_per_robot,0.403,10
