n_requested,n_actual,grid,cells_per_robot,seed,metric,value
10,10,90,810.0,81,steps_run,1500
10,10,90,810.0,81,survivors,9
10,10,90,810.0,81,final_cov,91.58
10,10,90,810.0,81,final_found,7
10,10,90,810.0,81,found_frac,0.778
10,10,90,810.0,81,deaths,1
10,10,90,810.0,81,hazard_deaths,0
10,10,90,810.0,81,battery_deaths,1
10,10,90,810.0,81,peak_relays,6
10,10,90,810.0,81,t_first_found,8
10,10,90,810.0,81,t_half_found,184
10,10,90,810.0,81,t_all_found,-1
10,10,90,810.0,81,completed,0
10,10,90,810.0,81,wall_s,40.9
10,10,90,810.0,81,step_mean_ms,27.236
10,10,90,810.0,81,step_p50_ms,30.904
10,10,90,810.0,81,step_p90_ms,34.575
10,10,90,810.0,81,step_max_ms,53.298
10,10,90,810.0,81,ground_mean_ms,9.853
10,10,90,810.0,81,ground_p90_ms,15.405
10,10,90,810.0,81,astar_sum_mean_ms,17.383
10,10,90,810.0,81,astar_max_mean_ms,2.945
10,10,90,810.0,81,astar_max_p90_ms,3.707
10,10,90,810.0,81,dist_mean_ms,12.798
10,10,90,810.0,81,dist_p90_ms,17.93
10,10,90,810.0,81,role_ms,0.885
10,10,90,810.0,81,alloc_ms,0.396
10,10,90,810.0,81,relay_cover_ms,0.089
10,10,90,810.0,81,explorer_move_ms,21.179
10,10,90,810.0,81,relay_move_ms,0.422
10,10,90,810.0,81,astar_explorer_ms,17.252
10,10,90,810.0,81,astar_relay_ms,0.132
10,10,90,810.0,81,other_ms,4.265
10,10,90,810.0,81,step_ms_per_robot,2.7236
10,10,90,810.0,81,ground_ms_per_robot,0.9853
10,10,90,810.0,81,role_ms_per_robot,0.0885
10,10,90,810.0,81,alloc_ms_per_robot,0.0396
10,10,90,810.0,81,relay_cover_ms_per_robot,0.0089
10,10,90,810.0,81,explorer_move_ms_per_robot,2.1179
10,10,90,810.0,81,relay_move_ms_per_robot,0.0422
10,10,90,810.0,82,steps_run,524
10,10,90,810.0,82,survivors,9
10,10,90,810.0,82,final_cov,85.59
10,10,90,810.0,82,final_found,9
10,10,90,810.0,82,found_frac,1.0
10,10,90,810.0,82,deaths,1
10,10,90,810.0,82,hazard_deaths,0
10,10,90,810.0,82,battery_deaths,1
10,10,90,810.0,82,peak_relays,3
10,10,90,810.0,82,t_first_found,14
10,10,90,810.0,82,t_half_found,80
10,10,90,810.0,82,t_all_found,524
10,10,90,810.0,82,completed,1
10,10,90,810.0,82,wall_s,11.4
10,10,90,810.0,82,step_mean_ms,21.841
10,10,90,810.0,82,step_p50_ms,18.179
10,10,90,810.0,82,step_p90_ms,35.843
10,10,90,810.0,82,step_max_ms,64.042
10,10,90,810.0,82,ground_mean_ms,13.885
10,10,90,810.0,82,ground_p90_ms,17.015
10,10,90,810.0,82,astar_sum_mean_ms,7.956
10,10,90,810.0,82,astar_max_mean_ms,3.033
10,10,90,810.0,82,astar_max_p90_ms,6.191
10,10,90,810.0,82,dist_mean_ms,16.918
10,10,90,810.0,82,dist_p90_ms,21.922
10,10,90,810.0,82,role_ms,2.625
10,10,90,810.0,82,alloc_ms,0.367
10,10,90,810.0,82,relay_cover_ms,0.042
10,10,90,810.0,82,explorer_move_ms,10.078
10,10,90,810.0,82,relay_move_ms,0.193
10,10,90,810.0,82,astar_explorer_ms,7.948
10,10,90,810.0,82,astar_relay_ms,0.008
10,10,90,810.0,82,other_ms,8.536
10,10,90,810.0,82,step_ms_per_robot,2.1841
10,10,90,810.0,82,ground_ms_per_robot,1.3885
10,10,90,810.0,82,role_ms_per_robot,0.2625
10,10,90,810.0,82,alloc_ms_per_robot,0.0367
10,10,90,810.0,82,relay_cover_ms_per_robot,0.0042
10,10,90,810.0,82,explorer_move_ms_per_robot,1.0078
10,10,90,810.0,82,relay_move_ms_per_robot,0.0193
10,10,90,810.0,83,steps_run,638
10,10,90,810.0,83,survivors,9
10,10,90,810.0,83,final_cov,92.05
10,10,90,810.0,83,final_found,9
10,10,90,810.0,83,found_frac,1.0
10,10,90,810.0,83,deaths,2
10,10,90,810.0,83,hazard_deaths,0
10,10,90,810.0,83,battery_deaths,2
10,10,90,810.0,83,peak_relays,6
10,10,90,810.0,83,t_first_found,16
10,10,90,810.0,83,t_half_found,119
10,10,90,810.0,83,t_all_found,638
10,10,90,810.0,83,completed,1
10,10,90,810.0,83,wall_s,12.8
10,10,90,810.0,83,step_mean_ms,20.031
10,10,90,810.0,83,step_p50_ms,19.93
10,10,90,810.0,83,step_p90_ms,32.817
10,10,90,810.0,83,step_max_ms,51.088
10,10,90,810.0,83,ground_mean_ms,11.805
10,10,90,810.0,83,ground_p90_ms,15.212
10,10,90,810.0,83,astar_sum_mean_ms,8.225
10,10,90,810.0,83,astar_max_mean_ms,3.074
10,10,90,810.0,83,astar_max_p90_ms,5.925
10,10,90,810.0,83,dist_mean_ms,14.879
10,10,90,810.0,83,dist_p90_ms,18.923
10,10,90,810.0,83,role_ms,2.107
10,10,90,810.0,83,alloc_ms,0.475
10,10,90,810.0,83,relay_cover_ms,0.145
10,10,90,810.0,83,explorer_move_ms,9.344
10,10,90,810.0,83,relay_move_ms,1.195
10,10,90,810.0,83,astar_explorer_ms,7.583
10,10,90,810.0,83,astar_relay_ms,0.643
10,10,90,810.0,83,other_ms,6.764
10,10,90,810.0,83,step_ms_per_robot,2.0031
10,10,90,810.0,83,ground_ms_per_robot,1.1805
10,10,90,810.0,83,role_ms_per_robot,0.2107
10,10,90,810.0,83,alloc_ms_per_robot,0.0475
10,10,90,810.0,83,relay_cover_ms_per_robot,0.0145
10,10,90,810.0,83,explorer_move_ms_per_robot,0.9344
10,10,90,810.0,83,relay_move_ms_per_robot,0.1195
10,10,90,810.0,84,steps_run,1179
10,10,90,810.0,84,survivors,9
10,10,90,810.0,84,final_cov,94.3
10,10,90,810.0,84,final_found,9
10,10,90,810.0,84,found_frac,1.0
10,10,90,810.0,84,deaths,3
10,10,90,810.0,84,hazard_deaths,0
10,10,90,810.0,84,battery_deaths,3
10,10,90,810.0,84,peak_relays,6
10,10,90,810.0,84,t_first_found,8
10,10,90,810.0,84,t_half_found,231
10,10,90,810.0,84,t_all_found,1179
10,10,90,810.0,84,completed,1
10,10,90,810.0,84,wall_s,38.4
10,10,90,810.0,84,step_mean_ms,32.604
10,10,90,810.0,84,step_p50_ms,34.761
10,10,90,810.0,84,step_p90_ms,52.651
10,10,90,810.0,84,step_max_ms,72.365
10,10,90,810.0,84,ground_mean_ms,10.798
10,10,90,810.0,84,ground_p90_ms,13.577
10,10,90,810.0,84,astar_sum_mean_ms,21.806
10,10,90,810.0,84,astar_max_mean_ms,4.471
