n_requested,n_actual,grid,cells_per_robot,seed,steps_run,survivors,final_cov,final_found,found_frac,deaths,hazard_deaths,battery_deaths,peak_relays,t_first_found,t_half_found,t_all_found,completed,wall_s,step_mean_ms,step_p50_ms,step_p90_ms,step_max_ms,ground_mean_ms,ground_p90_ms,astar_sum_mean_ms,astar_max_mean_ms,astar_max_p90_ms,dist_mean_ms,dist_p90_ms,role_ms,alloc_ms,relay_cover_ms,explorer_move_ms,relay_move_ms,astar_explorer_ms,astar_relay_ms,other_ms,step_ms_per_robot,ground_ms_per_robot,role_ms_per_robot,alloc_ms_per_robot,relay_cover_ms_per_robot,explorer_move_ms_per_robot,relay_move_ms_per_robot
10,10,90,810.0,81,1500,9,91.58,7,0.778,1,0,1,6,8,184,-1,0,40.9,27.236,30.904,34.575,53.298,9.853,15.405,17.383,2.945,3.707,12.798,17.93,0.885,0.396,0.089,21.179,0.422,17.252,0.132,4.265,2.7236,0.9853,0.0885,0.0396,0.0089,2.1179,0.0422
10,10,90,810.0,82,524,9,85.59,9,1.0,1,0,1,3,14,80,524,1,11.4,21.841,18.179,35.843,64.042,13.885,17.015,7.956,3.033,6.191,16.918,21.922,2.625,0.367,0.042,10.078,0.193,7.948,0.008,8.536,2.1841,1.3885,0.2625,0.0367,0.0042,1.0078,0.0193
10,10,90,810.0,83,638,9,92.05,9,1.0,2,0,2,6,16,119,638,1,12.8,20.031,19.93,32.817,51.088,11.805,15.212,8.225,3.074,5.925,14.879,18.923,2.107,0.475,0.145,9.344,1.195,7.583,0.643,6.764,2.0031,1.1805,0.2107,0.0475,0.0145,0.9344,0.1195
10,10,90,810.0,84,1179,9,94.3,9,1.0,3,0,3,6,8,231,1179,1,38.4,32.604,34.761,52.651,72.365,10.798,13.577,21.806,4.471,6.536,15.269,18.582,1.389,0.376,0.178,24.664,0.35,21.771,0.036,5.647,3.2604,1.0798,0.1389,0.0376,0.0178,2.4664,0.035
10,10,90,810.0,85,1500,9,94.85,6,0.667,1,0,1,6,11,66,-1,0,26.2,17.481,14.989,33.841,54.292,8.412,12.955,9.069,2.633,5.24,11.045,17.486,1.255,0.453,0.07,10.782,0.475,8.787,0.283,4.446,1.7481,0.8412,0.1255,0.0453,0.007,1.0782,0.0475
10,10,90,810.0,86,1500,9,96.78,6,0.667,1,0,1,5,1,189,-1,0,56.9,37.92,40.827,54.165,75.25,10.805,13.995,27.115,5.06,6.226,15.865,19.483,1.45,0.307,0.046,30.325,0.195,27.108,0.007,5.597,3.792,1.0805,0.145,0.0307,0.0046,3.0325,0.0195
10,10,90,810.0,87,256,9,70.54,9,1.0,0,0,0,4,21,130,256,1,3.7,14.418,12.564,22.742,49.919,12.053,14.561,2.365,1.575,4.617,13.628,19.278,1.277,0.522,0.264,3.66,0.416,2.313,0.052,8.28,1.4418,1.2053,0.1277,0.0522,0.0264,0.366,0.0416
10,10,90,810.0,88,822,9,92.77,9,1.0,1,0,1,5,1,296,822,1,16.2,19.72,18.743,29.609,50.568,12.407,15.303,7.313,3.279,6.281,15.686,19.861,1.307,0.521,0.106,9.25,1.098,6.748,0.565,7.438,1.972,1.2407,0.1307,0.0521,0.0106,0.925,0.1098
10,10,90,810.0,89,1500,9,99.3,6,0.667,5,0,5,4,5,219,-1,0,31.8,21.22,18.739,43.722,73.647,11.171,16.706,10.049,3.233,6.237,14.404,22.57,4.308,0.279,0.031,11.667,0.318,10.04,0.009,4.617,2.122,1.1171,0.4308,0.0279,0.0031,1.1667,0.0318
10,10,90,810.0,90,1500,9,95.52,8,0.889,3,0,3,5,28,50,-1,0,27.3,18.228,17.467,25.916,49.104,10.677,15.87,7.551,2.021,5.255,12.698,18.851,2.059,0.34,0.048,10.757,0.203,7.538,0.013,4.821,1.8228,1.0677,0.2059,0.034,0.0048,1.0757,0.0203
10,10,90,810.0,91,829,9,92.98,9,1.0,2,0,2,5,1,207,829,1,22.4,27.011,25.39,39.611,55.495,12.283,16.364,14.727,4.349,6.256,16.632,21.567,1.658,0.399,0.145,17.659,0.348,14.662,0.065,6.802,2.7011,1.2283,0.1658,0.0399,0.0145,1.7659,0.0348
10,10,90,810.0,92,400,9,92.16,9,1.0,0,0,0,6,47,84,400,1,8.5,21.362,20.061,28.3,50.336,15.667,18.791,5.695,2.495,6.213,18.162,22.669,3.214,0.418,0.267,8.742,0.542,5.585,0.109,8.18,2.1362,1.5667,0.3214,0.0418,0.0267,0.8742,0.0542
10,10,90,810.0,93,1500,9,95.06,7,0.778,3,0,3,6,11,239,-1,0,35.8,23.867,21.075,39.448,52.754,9.486,12.23,14.381,3.982,6.043,13.468,17.428,0.839,0.398,0.045,16.428,0.259,14.372,0.01,5.898,2.3867,0.9486,0.0839,0.0398,0.0045,1.6428,0.0259
10,10,90,810.0,94,1500,9,98.27,7,0.778,3,0,3,6,10,163,-1,0,18.3,12.197,12.605,22.848,51.262,7.825,14.666,4.372,1.285,1.677,9.109,17.219,1.454,0.226,0.048,7.067,0.227,4.364,0.008,3.175,1.2197,0.7825,0.1454,0.0226,0.0048,0.7067,0.0227
10,10,90,810.0,95,1500,9,95.02,6,0.667,2,0,2,5,1,50,-1,0,62.9,41.947,42.544,60.204,80.767,10.685,13.705,31.262,5.548,6.385,16.233,19.797,1.112,0.358,0.041,34.458,0.537,31.015,0.247,5.442,4.1947,1.0685,0.1112,0.0358,0.0041,3.4458,0.0537
10,10,90,810.0,96,1500,9,77.9,5,0.556,1,0,1,4,49,177,-1,0,59.9,39.961,42.752,49.873,72.43,11.973,15.059,27.987,5.277,6.058,17.25,20.917,0.864,0.363,0.052,33.501,0.27,27.981,0.006,4.911,3.9961,1.1973,0.0864,0.0363,0.0052,3.3501,0.027
10,10,90,810.0,97,387,9,85.36,9,1.0,0,0,0,6,32,129,387,1,8.2,21.249,18.927,31.16,52.919,14.427,17.293,6.822,2.661,6.391,17.088,21.353,1.851,0.388,0.342,10.09,0.503,6.723,0.099,8.075,2.1249,1.4427,0.1851,0.0388,0.0342,1.009,0.0503
10,10,90,810.0,98,1500,9,98.67,8,0.889,5,0,5,6,6,237,-1,0,23.5,15.671,14.446,26.716,46.901,9.038,12.905,6.633,2.808,6.069,11.846,17.112,1.48,0.328,0.16,7.707,0.916,6.161,0.472,5.08,1.5671,0.9038,0.148,0.0328,0.016,0.7707,0.0916
10,10,90,810.0,99,1500,9,98.2,8,0.889,2,0,2,6,43,76,-1,0,17.0,11.316,7.144,25.474,58.681,7.232,14.199,4.084,1.457,5.227,8.689,17.409,1.257,0.228,0.074,6.141,0.633,3.664,0.419,2.982,1.1316,0.7232,0.1257,0.0228,0.0074,0.6141,0.0633
10,10,90,810.0,100,1500,9,98.74,8,0.889,2,0,2,6,14,90,-1,0,24.9,16.577,13.085,32.142,72.043,8.265,12.751,8.312,2.955,6.462,11.219,17.619,1.702,0.273,0.09,10.236,0.371,8.166,0.146,3.905,1.6577,0.8265,0.1702,0.0273,0.009,1.0236,0.0371
20,20,126,793.8,81,361,18,86.22,18,1.0,0,0,0,6,7,92,361,1,17.5,48.491,39.926,84.633,140.785,30.98,43.022,17.511,6.526,12.365,37.506,54.397,2.289,2.748,0.65,19.664,4.25,14.384,3.127,18.889,2.4245,1.549,0.1144,0.1374,0.0325,0.9832,0.2125
20,20,126,793.8,82,561,18,91.1,18,1.0,3,0,3,5,6,181,561,1,45.7,81.408,82.648,124.611,190.76,32.196,40.762,49.212,10.656,12.872,42.852,53.314,2.713,2.227,0.422,55.779,0.854,49.098,0.114,19.413,4.0704,1.6098,0.1356,0.1113,0.0211,2.789,0.0427
