variant,n_seeds,seed,steps_ran,survivors,found,found_pct,cov_pct,stair_pct,completed,deadline,found_deadline,found_deadline_pct,cov_deadline,t_first_found,t_half_found,t_all_found,t_cov90,t_stair50,deaths,hazard_deaths,stranded_end,blackout_total,blackout_max,relay_duty_ticks,battery_used,step_mean_ms,step_p90_ms,wall_s
A0-FULL,10,5.5,803.0,45.0,44.9,99.778,94.956,99.197,0.9,250.0,34.3,76.221,68.637,5.3,120.6,652.9,442.4,125.0,5.3,5.0,0.5,247.4,82.3,5094.5,33346.02,329.467,677.517,297.2
A1-NOCLUS,10,5.5,958.0,45.0,44.8,99.556,95.799,99.664,0.8,250.0,33.3,73.999,68.841,5.5,129.5,657.8,469.9,115.0,6.6,5.5,0.0,181.1,58.9,5569.8,35434.28,440.99,812.563,499.95
A2-GREEDY,10,5.5,709.3,45.0,44.9,99.778,94.931,98.246,0.9,250.0,31.8,70.667,73.257,3.6,144.3,559.2,367.4,187.5,5.3,5.2,0.5,163.7,57.9,4708.0,27450.08,381.978,721.823,300.81
A3-NODIV,10,5.5,997.9,45.0,44.7,99.334,94.881,98.628,0.7,250.0,32.9,73.112,67.436,5.2,131.5,547.6,432.3,147.5,6.3,5.2,0.1,172.7,48.5,5843.1,37594.73,407.547,787.359,486.95
A4-NOL2,10,5.5,951.0,45.0,44.8,99.556,95.472,99.64,0.8,250.0,31.4,69.778,67.831,3.6,147.8,650.8,547.5,160.0,5.0,4.2,0.0,119.1,32.6,5924.6,35731.65,441.027,864.114,518.61
A5-NORESC,10,5.5,901.8,45.0,44.7,99.334,94.491,99.499,0.7,250.0,35.3,78.444,67.915,5.3,121.8,451.5,434.8,115.0,6.7,5.5,0.0,177.9,56.0,5313.4,33507.28,397.196,747.406,453.55
B1-NOCONG,10,5.5,714.0,45.0,44.1,98.0,94.39,94.825,0.8,250.0,35.7,79.333,73.328,5.8,111.0,413.8,440.0,125.0,7.1,5.7,0.3,205.7,82.8,3604.0,35796.98,316.257,494.306,325.75
B2-NOCAP,10,5.5,948.3,45.0,44.6,99.112,94.587,98.948,0.6,250.0,35.1,77.999,68.664,5.3,113.2,347.9,497.4,125.0,7.4,5.1,0.0,270.3,66.5,6043.5,35708.48,356.178,639.369,422.04
B3-NOMF,10,5.5,870.0,45.0,44.9,99.778,94.91,99.335,0.9,250.0,35.0,77.778,68.382,5.3,119.6,719.9,369.7,122.5,4.7,4.3,0.0,177.3,66.0,5318.0,34766.32,406.067,814.698,429.08
A6-NOSWEEP,10,5.5,1052.8,45.0,44.5,98.89,96.916,99.255,0.7,250.0,34.5,76.667,68.788,5.3,120.6,602.5,520.0,125.0,8.2,6.4,0.0,224.6,79.4,6532.1,37381.11,442.298,885.151,491.82
B5-NOTRAV,10,5.5,884.9,45.0,44.8,99.556,94.716,99.142,0.8,250.0,33.5,74.445,67.408,5.2,113.1,584.7,545.0,125.0,6.2,4.7,0.1,337.9,108.8,5927.1,35204.6,354.008,652.174,383.0
B6-NOSUB,10,5.5,962.0,45.0,44.7,99.334,95.294,98.456,0.7,250.0,33.3,73.999,69.474,6.2,122.1,511.7,535.0,152.5,5.7,5.1,0.0,211.0,58.0,5383.3,35895.94,452.363,865.617,538.73
B7-NOGAME,10,5.5,882.9,45.0,44.8,99.556,95.785,99.817,0.8,250.0,36.0,79.999,69.918,5.3,104.7,582.7,432.4,92.5,2.5,1.5,0.1,113.6,20.6,5687.7,35400.7,473.094,917.153,541.41
X-NEITHER,10,5.5,770.8,45.0,44.8,99.556,96.383,98.233,0.8,250.0,31.5,69.999,72.116,5.4,158.0,470.6,442.5,220.0,3.2,3.0,0.0,28.1,4.6,4948.8,28644.33,451.706,790.12,465.7
