variant,seed,steps_ran,survivors,found,found_pct,cov_pct,stair_pct,completed,deadline,found_deadline,found_deadline_pct,cov_deadline,t_first_found,t_half_found,t_all_found,t_cov90,t_stair50,deaths,hazard_deaths,stranded_end,blackout_total,blackout_max,relay_duty_ticks,battery_used,step_mean_ms,step_p90_ms,wall_s
A0-FULL,1,738,45,45,100.0,88.77,99.04,1,250,27,60.0,60.34,15,184,738,-1,200,3,3,0,197,73,5435,28375.9,147.58,240.2,108.9
A0-FULL,2,598,45,45,100.0,92.05,99.77,1,250,36,80.0,67.66,1,143,598,525,175,4,4,0,437,223,4817,28414.7,219.35,368.15,131.2
A0-FULL,3,1500,45,44,97.78,97.09,99.83,0,250,35,77.78,66.53,1,141,-1,525,125,9,6,0,148,25,8125,40555.5,648.69,1051.12,973.1
A0-FULL,4,730,45,45,100.0,94.74,99.6,1,250,33,73.33,69.61,1,71,730,475,75,2,2,0,189,98,5437,35248.7,356.87,881.11,260.5
A0-FULL,5,903,45,45,100.0,98.88,98.01,1,250,37,82.22,74.5,15,117,903,425,150,3,3,0,264,139,5162,38123.1,592.07,1541.6,534.7
A0-FULL,6,784,45,45,100.0,95.88,99.55,1,250,29,64.44,73.69,10,164,784,475,100,9,9,2,426,69,4614,36003.0,243.73,485.03,191.1
A0-FULL,7,794,45,45,100.0,97.67,99.15,1,250,32,71.11,67.75,4,129,794,475,125,4,4,0,91,45,4344,32999.0,407.86,967.81,323.9
A0-FULL,8,656,45,45,100.0,96.47,99.11,1,250,37,82.22,63.72,1,57,656,500,50,3,3,0,272,29,4683,34459.2,220.33,419.97,144.6
A0-FULL,9,553,45,45,100.0,93.19,98.79,1,250,39,86.67,73.3,1,121,553,475,175,4,4,0,23,20,3706,28101.5,229.1,365.48,126.7
A0-FULL,10,774,45,45,100.0,94.82,99.12,1,250,38,84.44,69.27,4,79,774,550,75,12,12,3,427,102,4622,31179.6,229.09,454.7,177.3
A1-NOCLUS,1,876,45,45,100.0,91.95,99.92,1,250,22,48.89,56.55,16,251,876,775,250,4,3,0,92,15,6848,36001.0,167.85,296.02,147.1
A1-NOCLUS,2,554,45,45,100.0,92.48,99.85,1,250,36,80.0,68.14,1,118,554,525,100,4,4,0,302,99,4260,26867.2,234.28,395.98,129.8
A1-NOCLUS,3,1500,45,44,97.78,97.42,99.83,0,250,34,75.56,65.9,1,124,-1,550,100,14,12,0,144,25,7803,39648.7,616.17,964.25,924.3
A1-NOCLUS,4,420,45,45,100.0,90.99,98.33,1,250,37,82.22,74.05,1,107,420,-1,75,3,3,0,11,11,3339,20606.4,213.35,388.02,89.6
A1-NOCLUS,5,776,45,45,100.0,97.16,100.0,1,250,39,86.67,74.69,7,114,776,400,125,4,4,0,85,41,4752,34500.8,422.81,915.38,328.1
A1-NOCLUS,6,1500,45,44,97.78,99.26,99.73,0,250,29,64.44,67.67,7,176,-1,525,100,10,8,0,643,186,7863,46553.3,682.34,1404.41,1023.6
A1-NOCLUS,7,1415,45,45,100.0,98.32,99.79,1,250,29,64.44,67.8,16,115,1415,550,75,9,5,0,43,36,5531,43171.6,751.62,1306.13,1063.6
A1-NOCLUS,8,1137,45,45,100.0,98.98,99.93,1,250,37,82.22,70.12,1,65,1137,450,75,3,1,0,238,30,6881,43048.1,842.54,1599.67,958.0
A1-NOCLUS,9,707,45,45,100.0,97.71,100.0,1,250,32,71.11,71.29,1,152,707,450,175,7,7,0,160,123,4695,33875.1,209.2,376.07,147.9
A1-NOCLUS,10,695,45,45,100.0,93.72,99.26,1,250,38,84.44,72.2,4,73,695,475,75,8,8,0,93,23,3726,30070.6,269.74,479.7,187.5
